trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-185.349	0.019	26.981				-0.001								{SPACE}		4.59	-180.759		Welcome	
	0	-180.732	0.027	31.598				5.0													LifeHappyPreview	
	0	-175.7	0.032	36.63				1.026								2{-2}		1.026	-174.674	728.0	LifeHappiness	
	0	-168.612	0.019	43.718				4.0													BlockHappyPreview	
	0	-164.6	0.012	47.73				1.175												736.0	BlockStartHappiness	
	0	-2.564	0.021	209.766				-0.001								5.0					ScanWait	
	1	0.027	0.027	212.357				10.0													GetReady	
1.0	1	10.057	0.03	222.387	1.5	0.0	10.1875	3.0	955.0	0.82	Outcome1	1.5	-2.22	0.0	No	2.0	3.7202718006795	1.766	11.823		GetAnswer	Mixed
1.0	1	11.846	0.023	224.176	1.5	0.0	10.1875	4.0	955.0	0.82	Outcome1	1.5	-2.22	0.0	No		3.7202718006795				ShowChoice	Mixed
1.0	1	15.874	0.028	228.204	1.5	0.0	10.1875	1.0	955.0	0.82	Outcome1	1.5	-2.22	0.0	No		3.7202718006795				ShowResult	Mixed
1.0	1	16.894	0.02	229.224	1.5	0.0	10.1875	2.431	955.0	0.82	Outcome1	1.5	-2.22	0.0	No		3.7202718006795				ISITrial	Mixed
2.0	1	19.352	0.027	231.682	-0.7	-2.0	10.1	3.0	955.0	0.66	Outcome2	-4.67	-0.7	0.0	No	2.0	3.9682899207247995	2.048	21.4		GetAnswer	Mixed
2.0	1	21.424	0.023	233.754	-0.7	-2.0	10.1	4.0	955.0	0.66	Outcome2	-4.67	-0.7	0.0	No		3.9682899207247995				ShowChoice	Mixed
2.0	1	25.453	0.029	237.783	-0.7	-2.0	10.1	1.0	955.0	0.66	Outcome2	-4.67	-0.7	0.0	No		3.9682899207247995				ShowResult	Mixed
2.0	1	26.473	0.02	238.803	-0.7	-2.0	10.1	4.568	955.0	0.66	Outcome2	-4.67	-0.7	0.0	No		3.9682899207247995				ISITrial	Mixed
3.0	1	31.07	0.029	243.4	6.3	1.04	10.8875	3.0	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes	2.0	4.216308040770101	1.548	32.618		GetAnswer	Gain
3.0	1	32.641	0.023	244.971	6.3	1.04	10.8875	4.0	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes		4.216308040770101				ShowChoice	Gain
3.0	1	36.67	0.029	249.0	6.3	1.04	10.8875	1.0	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes		4.216308040770101				ShowResult	Gain
3.0	1	37.69	0.02	250.02	6.3	1.04	10.8875	3.243	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes		4.216308040770101				ISITrial	Gain
3.0	1	43.842	0.024	256.172	6.3	1.04	10.8875	0.975	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes		4.216308040770101			728.0	TrialHappiness	Gain
3.0	1	47.87	4.028	260.2	6.3	1.04	10.8875	3.472	955.0	5.0	Outcome1	6.3	2.08	2868.0	Yes		4.216308040770101				ISIRate	Gain
4.0	1	51.364	0.022	263.694	9.3	2.35	12.05	3.0	955.0	2.48	Outcome2	4.7	9.3	0.0	No	2.0	4.60022650056625	1.091	52.455		GetAnswer	Gain
4.0	1	52.484	0.029	264.814	9.3	2.35	12.05	4.0	955.0	2.48	Outcome2	4.7	9.3	0.0	No		4.60022650056625				ShowChoice	Gain
4.0	1	56.496	0.012	268.826	9.3	2.35	12.05	1.0	955.0	2.48	Outcome2	4.7	9.3	0.0	No		4.60022650056625				ShowResult	Gain
4.0	1	57.516	0.02	269.846	9.3	2.35	12.05	2.011	955.0	2.48	Outcome2	4.7	9.3	0.0	No		4.60022650056625				ISITrial	Gain
5.0	1	59.556	0.029	271.886	2.0	2.0	12.3	3.0	955.0	1.82	Certain	-0.16	4.7	2582.5	Yes	4.0	4.85730464326161	2.721	62.277		GetAnswer	Gain
5.0	1	62.297	0.02	274.627	2.0	2.0	12.3	4.0	955.0	1.82	Certain	-0.16	4.7	2582.5	Yes		4.85730464326161				ShowChoice	Gain
5.0	1	66.326	0.029	278.656	2.0	2.0	12.3	1.0	955.0	1.82	Certain	-0.16	4.7	2582.5	Yes		4.85730464326161				ShowResult	Gain
5.0	1	67.346	0.02	279.676	2.0	2.0	12.3	5.129	955.0	1.82	Certain	-0.16	4.7	2582.5	Yes		4.85730464326161				ISITrial	Gain
5.0	1	75.102	0.026	287.432	2.0	2.0	12.3	1.226	955.0	1.82	Certain	-0.16	4.7	2582.5	Yes		4.85730464326161			744.0	TrialHappiness	Gain
