trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-50.497	0.021	18.987				-0.001								{SPACE}		6.584	-43.913		Welcome	
	0	-43.894	0.018	25.59				5.0													LifeHappyPreview	
	0	-38.862	0.032	30.622				0.0												512.0	LifeHappiness	
	0	-15.125	0.02	54.359				4.0													BlockHappyPreview	
	0	-11.113	0.012	58.371				1.778												760.0	BlockStartHappiness	
	0	-4.125	0.013	65.359				-0.001								5.0					ScanWait	
	1	0.021	0.021	69.505				10.0													GetReady	
1.0	1	10.051	0.03	79.535	8.7	2.7	11.0875	3.0	955.0	1.82	Outcome1	8.7	5.39	0.0	No	2.0	3.3125707814269503	1.185	11.236		GetAnswer	Gain
1.0	1	11.254	0.018	80.738	8.7	2.7	11.0875	4.0	955.0	1.82	Outcome1	8.7	5.39	0.0	No		3.3125707814269503				ShowChoice	Gain
1.0	1	15.266	0.012	84.75	8.7	2.7	11.0875	1.0	955.0	1.82	Outcome1	8.7	5.39	0.0	No		3.3125707814269503				ShowResult	Gain
1.0	1	16.286	0.02	85.77	8.7	2.7	11.0875	2.431	955.0	1.82	Outcome1	8.7	5.39	0.0	No		3.3125707814269503				ISITrial	Gain
2.0	1	18.743	0.026	88.227	1.0	1.0	11.2125	3.0	955.0	0.66	Certain	-0.23	3.3	0.0	No	4.0	3.5334088335220804	1.328	20.071		GetAnswer	Mixed
2.0	1	20.097	0.026	89.581	1.0	1.0	11.2125	4.0	955.0	0.66	Certain	-0.23	3.3	0.0	No		3.5334088335220804				ShowChoice	Mixed
2.0	1	24.109	0.012	93.593	1.0	1.0	11.2125	1.0	955.0	0.66	Certain	-0.23	3.3	0.0	No		3.5334088335220804				ShowResult	Mixed
2.0	1	25.129	0.02	94.613	1.0	1.0	11.2125	4.568	955.0	0.66	Certain	-0.23	3.3	0.0	No		3.5334088335220804				ISITrial	Mixed
3.0	1	29.726	0.029	99.21	-2.0	-2.0	10.9625	3.0	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes	4.0	3.7542468856172095	1.026	30.752		GetAnswer	Mixed
3.0	1	30.779	0.027	100.263	-2.0	-2.0	10.9625	4.0	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes		3.7542468856172095				ShowChoice	Mixed
3.0	1	34.791	0.012	104.275	-2.0	-2.0	10.9625	1.0	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes		3.7542468856172095				ShowResult	Mixed
3.0	1	35.811	0.02	105.295	-2.0	-2.0	10.9625	3.243	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes		3.7542468856172095				ISITrial	Mixed
3.0	1	41.963	0.024	111.447	-2.0	-2.0	10.9625	2.197	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes		3.7542468856172095			424.0	TrialHappiness	Mixed
3.0	1	45.991	4.028	115.475	-2.0	-2.0	10.9625	3.472	955.0	1.2	Certain	-0.1	-3.85	2868.0	Yes		3.7542468856172095				ISIRate	Mixed
4.0	1	49.485	0.022	118.969	1.5	-3.0	11.15	3.0	955.0	0.82	Outcome1	1.5	-8.18	0.0	No		9.682899207248019				GetAnswer	Mixed
4.0	1	52.511	0.026	121.995	1.5	-3.0	11.15	4.0	955.0	0.82	Outcome1	1.5	-8.18	0.0	No		9.682899207248019				ShowChoice	Mixed
4.0	1	56.523	0.012	126.007	1.5	-3.0	11.15	1.0	955.0	0.82	Outcome1	1.5	-8.18	0.0	No		9.682899207248019				ShowResult	Mixed
4.0	1	57.542	0.019	127.026	1.5	-3.0	11.15	2.011	955.0	0.82	Outcome1	1.5	-8.18	0.0	No		9.682899207248019				ISITrial	Mixed
5.0	1	59.582	0.029	129.066	-2.0	-2.0	10.9	3.0	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes	4.0	-2.26019252548131	2.702	62.284		GetAnswer	Mixed
5.0	1	62.307	0.023	131.791	-2.0	-2.0	10.9	4.0	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes		-2.26019252548131				ShowChoice	Mixed
5.0	1	66.319	0.012	135.803	-2.0	-2.0	10.9	1.0	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes		-2.26019252548131				ShowResult	Mixed
5.0	1	67.338	0.019	136.822	-2.0	-2.0	10.9	5.129	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes		-2.26019252548131				ISITrial	Mixed
5.0	1	75.095	0.026	144.579	-2.0	-2.0	10.9	3.835	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes		-2.26019252548131			504.0	TrialHappiness	Mixed
5.0	1	79.107	4.012	148.591	-2.0	-2.0	10.9	2.33	955.0	0.66	Certain	-2.96	-0.7	2582.5	Yes		-2.26019252548131				ISIRate	Mixed
6.0	1	81.464	0.027	150.948	7.5	2.0	11.8375	3.0	955.0	2.8	Outcome2	-2.03	7.5	0.0	No	2.0	9.526613816534539	2.093	83.557		GetAnswer	Gain
6.0	1	83.587	0.03	153.071	7.5	2.0	11.8375	4.0	955.0	2.8	Outcome2	-2.03	7.5	0.0	No		9.526613816534539				ShowChoice	Gain
6.0	1	87.616	0.029	157.1	7.5	2.0	11.8375	1.0	955.0	2.8	Outcome2	-2.03	7.5	0.0	No		9.526613816534539				ShowResult	Gain
6.0	1	88.635	0.019	158.119	7.5	2.0	11.8375	6.232	955.0	2.8	Outcome2	-2.03	7.5	0.0	No		9.526613816534539				ISITrial	Gain
7.0	1	94.887	0.02	164.371	10.5	0.23	13.15	3.0	955.0	1.68	Outcome1	10.5	0.46	0.0	No	2.0	10.0373725934315	1.253	96.14		GetAnswer	Loss
7.0	1	96.158	0.018	165.642	10.5	0.23	13.15	4.0	955.0	1.68	Outcome1	10.5	0.46	0.0	No		10.0373725934315				ShowChoice	Loss
7.0	1	100.186	0.028	169.67	10.5	0.23	13.15	1.0	955.0	1.68	Outcome1	10.5	0.46	0.0	No		10.0373725934315				ShowResult	Loss
7.0	1	101.206	0.02	170.69	10.5	0.23	13.15	2.305	955.0	1.68	Outcome1	10.5	0.46	0.0	No		10.0373725934315				ISITrial	Loss
8.0	1	103.53	0.019	173.014	11.5	0.48	14.5875	3.0	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes	2.0	10.5481313703284	0.998	104.528		GetAnswer	Loss
8.0	1	104.549	0.021	174.033	11.5	0.48	14.5875	4.0	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes		10.5481313703284				ShowChoice	Loss
8.0	1	108.561	0.012	178.045	11.5	0.48	14.5875	1.0	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes		10.5481313703284				ShowResult	Loss
8.0	1	109.581	0.02	179.065	11.5	0.48	14.5875	3.506	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes		10.5481313703284				ISITrial	Loss
8.0	1	116.251	0.031	185.735	11.5	0.48	14.5875	2.196	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes		10.5481313703284			848.0	TrialHappiness	Loss
8.0	1	120.28	4.029	189.764	11.5	0.48	14.5875	4.45	955.0	2.8	Outcome1	11.5	0.95	3112.5	Yes		10.5481313703284				ISIRate	Loss
9.0	1	124.76	0.03	194.244	11.9	3.34	16.075	3.0	955.0	3.6	Outcome1	11.9	6.68	0.0	No	2.0	5.21517553793884	1.197	125.957		GetAnswer	Loss
9.0	1	125.98	0.023	195.464	11.9	3.34	16.075	4.0	955.0	3.6	Outcome1	11.9	6.68	0.0	No		5.21517553793884				ShowChoice	Loss
9.0	1	130.009	0.029	199.493	11.9	3.34	16.075	1.0	955.0	3.6	Outcome1	11.9	6.68	0.0	No		5.21517553793884				ShowResult	Loss
9.0	1	131.028	0.019	200.512	11.9	3.34	16.075	2.0	955.0	3.6	Outcome1	11.9	6.68	0.0	No		5.21517553793884				ISITrial	Loss
