trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-40.893	0.021	26.255				-0.001								{SPACE}		2.526	-38.367		Welcome	
	0	-38.335	0.032	28.813				5.0													LifeHappyPreview	
	0	-33.303	0.032	33.845				3.727												624.0	LifeHappiness	
	0	-15.533	0.018	51.615				4.0													BlockHappyPreview	
	0	-11.521	0.012	55.627				1.989												352.0	BlockStartHappiness	
	0	-3.932	0.019	63.216				-0.001								5.0					ScanWait	
	1	0.013	0.013	67.161				10.0													GetReady	
1.0	1	10.043	0.03	77.191	5.85	2.92	10.7313	3.0	955.0	5.0	Outcome1	5.85	8.3	0.0	No	2.0	-2.44705549263873	1.18	11.223		GetAnswer	Gain
1.0	1	11.247	0.024	78.395	5.85	2.92	10.7313	4.0	955.0	5.0	Outcome1	5.85	8.3	0.0	No		-2.44705549263873				ShowChoice	Gain
1.0	1	15.259	0.012	82.407	5.85	2.92	10.7313	1.0	955.0	5.0	Outcome1	5.85	8.3	0.0	No		-2.44705549263873				ShowResult	Gain
1.0	1	16.279	0.02	83.427	5.85	2.92	10.7313	2.431	955.0	5.0	Outcome1	5.85	8.3	0.0	No		-2.44705549263873				ISITrial	Gain
2.0	1	18.736	0.026	85.884	9.0	4.5	11.8563	3.0	955.0	2.8	Outcome1	9.0	11.5	0.0	No	2.0	-2.5039637599094	0.92	19.656		GetAnswer	Loss
2.0	1	19.672	0.016	86.82	9.0	4.5	11.8563	4.0	955.0	2.8	Outcome1	9.0	11.5	0.0	No		-2.5039637599094				ShowChoice	Loss
2.0	1	23.684	0.012	90.832	9.0	4.5	11.8563	1.0	955.0	2.8	Outcome1	9.0	11.5	0.0	No		-2.5039637599094				ShowResult	Loss
2.0	1	24.704	0.02	91.852	9.0	4.5	11.8563	4.568	955.0	2.8	Outcome1	9.0	11.5	0.0	No		-2.5039637599094				ISITrial	Loss
3.0	1	29.301	0.029	96.449	-1.0	-1.0	11.7313	3.0	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes	4.0	-2.5608720271800696	1.849	31.15		GetAnswer	Mixed
3.0	1	31.173	0.023	98.321	-1.0	-1.0	11.7313	4.0	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes		-2.5608720271800696				ShowChoice	Mixed
3.0	1	35.185	0.012	102.333	-1.0	-1.0	11.7313	1.0	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes		-2.5608720271800696				ShowResult	Mixed
3.0	1	36.205	0.02	103.353	-1.0	-1.0	11.7313	3.243	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes		-2.5608720271800696				ISITrial	Mixed
3.0	1	42.357	0.024	109.505	-1.0	-1.0	11.7313	2.498	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes		-2.5608720271800696			348.0	TrialHappiness	Mixed
3.0	1	46.369	4.012	113.517	-1.0	-1.0	11.7313	3.472	955.0	2.0	Certain	0.3	-2.26	2868.0	Yes		-2.5608720271800696				ISIRate	Mixed
4.0	1	49.863	0.022	117.011	11.1	-0.63	13.1188	3.0	955.0	2.22	Outcome2	-1.26	11.1	0.0	No	2.0	12.3601359003397	1.554	51.417		GetAnswer	Loss
4.0	1	51.434	0.017	118.582	11.1	-0.63	13.1188	4.0	955.0	2.22	Outcome2	-1.26	11.1	0.0	No		12.3601359003397				ShowChoice	Loss
4.0	1	55.446	0.012	122.594	11.1	-0.63	13.1188	1.0	955.0	2.22	Outcome2	-1.26	11.1	0.0	No		12.3601359003397				ShowResult	Loss
4.0	1	56.466	0.02	123.614	11.1	-0.63	13.1188	2.011	955.0	2.22	Outcome2	-1.26	11.1	0.0	No		12.3601359003397				ISITrial	Loss
5.0	1	58.505	0.028	125.653	13.7	0.32	14.8313	3.0	955.0	3.16	Outcome1	13.7	0.65	2582.5	Yes	2.0	13.047565118912802	0.954	59.459		GetAnswer	Loss
