trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-86.184	0.018	35.356				-0.001								{SPACE}		2.284	-83.9		Welcome	
	0	-83.874	0.026	37.666				5.0													LifeHappyPreview	
	0	-78.843	0.031	42.697				4.946												704.0	LifeHappiness	
	0	-60.388	0.024	61.152				4.0													BlockHappyPreview	
	0	-56.376	0.012	65.164				1.027												560.0	BlockStartHappiness	
	0	-2.749	0.017	118.791				-0.001								5.0					ScanWait	
	1	0.026	0.026	121.566				10.0													GetReady	
1.0	1	10.056	0.03	131.596	0.0	0.0	10.0	3.0	955.0	0.3	Certain	-4.01	2.7	0.0	No	4.0	6.71007927519819	2.904	12.96		GetAnswer	Mixed
1.0	1	12.982	0.022	134.522	0.0	0.0	10.0	4.0	955.0	0.3	Certain	-4.01	2.7	0.0	No		6.71007927519819				ShowChoice	Mixed
1.0	1	17.011	0.029	138.551	0.0	0.0	10.0	1.0	955.0	0.3	Certain	-4.01	2.7	0.0	No		6.71007927519819				ShowResult	Mixed
1.0	1	18.03	0.019	139.57	0.0	0.0	10.0	2.431	955.0	0.3	Certain	-4.01	2.7	0.0	No		6.71007927519819				ISITrial	Mixed
2.0	1	20.488	0.027	142.028	-3.0	-3.0	9.625	3.0	955.0	1.2	Certain	-7.26	-0.1	0.0	No	4.0	7.15741789354473	2.699	23.187		GetAnswer	Mixed
2.0	1	23.212	0.025	144.752	-3.0	-3.0	9.625	4.0	955.0	1.2	Certain	-7.26	-0.1	0.0	No		7.15741789354473				ShowChoice	Mixed
2.0	1	27.224	0.012	148.764	-3.0	-3.0	9.625	1.0	955.0	1.2	Certain	-7.26	-0.1	0.0	No		7.15741789354473				ShowResult	Mixed
2.0	1	28.244	0.02	149.784	-3.0	-3.0	9.625	4.568	955.0	1.2	Certain	-7.26	-0.1	0.0	No		7.15741789354473				ISITrial	Mixed
3.0	1	32.841	0.029	154.381	6.7	-0.45	10.4625	3.0	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes	2.0	7.6047565118912805	1.974	34.815		GetAnswer	Gain
3.0	1	34.847	0.032	156.387	6.7	-0.45	10.4625	4.0	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes		7.6047565118912805				ShowChoice	Gain
3.0	1	38.876	0.029	160.416	6.7	-0.45	10.4625	1.0	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes		7.6047565118912805				ShowResult	Gain
3.0	1	39.896	0.02	161.436	6.7	-0.45	10.4625	3.243	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes		7.6047565118912805				ISITrial	Gain
3.0	1	46.047	0.024	167.587	6.7	-0.45	10.4625	3.768	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes		7.6047565118912805			584.0	TrialHappiness	Gain
3.0	1	50.076	4.029	171.616	6.7	-0.45	10.4625	3.472	955.0	1.82	Outcome2	-0.9	6.7	2868.0	Yes		7.6047565118912805				ISIRate	Gain
4.0	1	53.57	0.022	175.11	0.0	0.0	10.4625	3.0	955.0	1.5	Certain	-3.54	4.1	0.0	No	4.0	7.644394110985281	2.763	56.333		GetAnswer	Mixed
4.0	1	56.362	0.029	177.902	0.0	0.0	10.4625	4.0	955.0	1.5	Certain	-3.54	4.1	0.0	No		7.644394110985281				ShowChoice	Mixed
4.0	1	60.39	0.028	181.93	0.0	0.0	10.4625	1.0	955.0	1.5	Certain	-3.54	4.1	0.0	No		7.644394110985281				ShowResult	Mixed
4.0	1	61.41	0.02	182.95	0.0	0.0	10.4625	2.011	955.0	1.5	Certain	-3.54	4.1	0.0	No		7.644394110985281				ISITrial	Mixed
5.0	1	63.449	0.028	184.989	-1.0	-1.0	10.3375	3.0	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes	4.0	-1.65241600604002	2.537	65.986		GetAnswer	Mixed
5.0	1	66.007	0.02	187.547	-1.0	-1.0	10.3375	4.0	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes		-1.65241600604002				ShowChoice	Mixed
5.0	1	70.036	0.029	191.576	-1.0	-1.0	10.3375	1.0	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes		-1.65241600604002				ShowResult	Mixed
5.0	1	71.055	0.019	192.595	-1.0	-1.0	10.3375	5.129	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes		-1.65241600604002				ISITrial	Mixed
5.0	1	78.812	0.026	200.352	-1.0	-1.0	10.3375	1.13	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes		-1.65241600604002			532.0	TrialHappiness	Mixed
5.0	1	82.841	4.029	204.381	-1.0	-1.0	10.3375	2.33	955.0	0.52	Certain	-0.9	-2.55	2582.5	Yes		-1.65241600604002				ISIRate	Mixed
6.0	1	85.198	0.027	206.738	5.7	1.0	11.05	3.0	955.0	3.16	Outcome1	5.7	-3.67	0.0	No	2.0	9.36806342015855	2.693	87.891		GetAnswer	Gain
