trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-38.804	0.088	18.551				-0.001								{SPACE}		1.492	-37.312		Welcome	
	0	-37.283	0.029	20.072				5.0													LifeHappyPreview	
	0	-32.251	0.032	25.104				3.467												880.0	LifeHappiness	
	0	-14.147	0.014	43.208				4.0													BlockHappyPreview	
	0	-10.135	0.012	47.22				1.091								2{-2}		1.091	-9.044	840.0	BlockStartHappiness	
	0	-3.499	0.022	53.856				-0.001								5.0					ScanWait	
	1	0.012	0.012	57.367				10.0													GetReady	
1.0	1	10.042	0.03	67.397	0.9	0.0	10.1125	3.0	955.0	0.4	Outcome1	0.9	-1.05	0.0	No	2.0	1.95356738391846	1.568	11.61		GetAnswer	Mixed
1.0	1	11.63	0.02	68.985	0.9	0.0	10.1125	4.0	955.0	0.4	Outcome1	0.9	-1.05	0.0	No		1.95356738391846				ShowChoice	Mixed
1.0	1	15.642	0.012	72.997	0.9	0.0	10.1125	1.0	955.0	0.4	Outcome1	0.9	-1.05	0.0	No		1.95356738391846				ShowResult	Mixed
1.0	1	16.661	0.019	74.016	0.9	0.0	10.1125	2.431	955.0	0.4	Outcome1	0.9	-1.05	0.0	No		1.95356738391846				ISITrial	Mixed
2.0	1	19.119	0.027	76.474	2.0	2.0	10.3625	3.0	955.0	0.52	Certain	3.1	1.02	0.0	No	4.0	2.0838052095130197	0.888	20.007		GetAnswer	Mixed
2.0	1	20.022	0.015	77.377	2.0	2.0	10.3625	4.0	955.0	0.52	Certain	3.1	1.02	0.0	No		2.0838052095130197				ShowChoice	Mixed
2.0	1	24.05	0.028	81.405	2.0	2.0	10.3625	1.0	955.0	0.52	Certain	3.1	1.02	0.0	No		2.0838052095130197				ShowResult	Mixed
2.0	1	25.07	0.02	82.425	2.0	2.0	10.3625	4.568	955.0	0.52	Certain	3.1	1.02	0.0	No		2.0838052095130197				ISITrial	Mixed
3.0	1	29.667	0.029	87.022	13.01	6.5	11.9887	3.0	955.0	2.8	Outcome1	13.01	13.5	2868.0	Yes	2.0	-0.488391845979615	0.989	30.656		GetAnswer	Loss
3.0	1	30.67	0.014	88.025	13.01	6.5	11.9887	4.0	955.0	2.8	Outcome1	13.01	13.5	2868.0	Yes		-0.488391845979615				ShowChoice	Loss
