trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-42.523	0.021	23.063				-0.001								{SPACE}		3.578	-38.945		Welcome	
	0	-38.929	0.015	26.657				5.0													LifeHappyPreview	
	0	-33.914	0.015	31.672				4.849												712.0	LifeHappiness	
	0	-13.753	0.024	51.833				4.0													BlockHappyPreview	
	0	-9.741	0.012	55.845				1.008												656.0	BlockStartHappiness	
	0	-2.035	0.014	63.551				-0.001								5.0					ScanWait	
	1	0.021	0.021	65.607				10.0													GetReady	
1.0	1	10.034	0.013	75.62	8.1	1.51	11.0125	3.0	955.0	4.2	Outcome1	8.1	3.02	0.0	No	2.0	5.0792751981879904	1.344	11.378		GetAnswer	Gain
1.0	1	11.405	0.027	76.991	8.1	1.51	11.0125	4.0	955.0	4.2	Outcome1	8.1	3.02	0.0	No		5.0792751981879904				ShowChoice	Gain
1.0	1	15.417	0.012	81.003	8.1	1.51	11.0125	1.0	955.0	4.2	Outcome1	8.1	3.02	0.0	No		5.0792751981879904				ShowResult	Gain
1.0	1	16.437	0.02	82.023	8.1	1.51	11.0125	2.431	955.0	4.2	Outcome1	8.1	3.02	0.0	No		5.0792751981879904				ISITrial	Gain
2.0	1	18.894	0.026	84.48	3.86	1.93	11.495	3.0	955.0	2.22	Outcome2	5.1	3.86	0.0	No	2.0	-1.24160060400151	1.175	20.069		GetAnswer	Gain
2.0	1	20.081	0.012	85.667	3.86	1.93	11.495	4.0	955.0	2.22	Outcome2	5.1	3.86	0.0	No		-1.24160060400151				ShowChoice	Gain
2.0	1	24.093	0.012	89.679	3.86	1.93	11.495	1.0	955.0	2.22	Outcome2	5.1	3.86	0.0	No		-1.24160060400151				ShowResult	Gain
2.0	1	25.113	0.02	90.699	3.86	1.93	11.495	4.568	955.0	2.22	Outcome2	5.1	3.86	0.0	No		-1.24160060400151				ISITrial	Gain
3.0	1	29.71	0.029	95.296	9.03	4.51	12.6238	3.0	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes	2.0	-1.2698187995469998	1.16	30.87		GetAnswer	Gain
3.0	1	30.897	0.027	96.483	9.03	4.51	12.6238	4.0	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes		-1.2698187995469998				ShowChoice	Gain
3.0	1	34.909	0.012	100.495	9.03	4.51	12.6238	1.0	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes		-1.2698187995469998				ShowResult	Gain
3.0	1	35.929	0.02	101.515	9.03	4.51	12.6238	3.243	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes		-1.2698187995469998				ISITrial	Gain
3.0	1	42.08	0.024	107.666	9.03	4.51	12.6238	2.047	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes	2{-2}2{-2}2{-2}	-1.2698187995469998	2.047	44.127	616.0	TrialHappiness	Gain
3.0	1	46.092	4.012	111.678	9.03	4.51	12.6238	3.472	955.0	5.0	Outcome2	10.3	9.03	2868.0	Yes		-1.2698187995469998				ISIRate	Gain
4.0	1	49.586	0.022	115.172	5.44	2.72	13.3038	3.0	955.0	2.0	Outcome1	5.44	6.9	0.0	No	2.0	-1.4603624009060001	1.053	50.639		GetAnswer	Gain
4.0	1	50.656	0.017	116.242	5.44	2.72	13.3038	4.0	955.0	2.0	Outcome1	5.44	6.9	0.0	No		-1.4603624009060001				ShowChoice	Gain
4.0	1	54.668	0.012	120.254	5.44	2.72	13.3038	1.0	955.0	2.0	Outcome1	5.44	6.9	0.0	No		-1.4603624009060001				ShowResult	Gain
