trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-140.272	0.022	12.986				-0.001								{SPACE}		3.715	-136.557		Welcome	
	0	-136.527	0.03	16.731				5.0													LifeHappyPreview	
	0	-131.496	0.031	21.762				1.881												280.0	LifeHappiness	
	0	-115.815	0.028	37.443				4.0													BlockHappyPreview	
	0	-111.803	0.012	41.455				1.278								4{-4}4{-4}		1.278	-110.525	456.0	BlockStartHappiness	
	0	-100.586	0.02	52.672				-0.001								5.0					ScanWait	
	1	0.015	0.015	153.273				10.0													GetReady	
1.0	1	10.045	0.03	163.303	12.7	2.11	11.5875	3.0	955.0	1.82	Outcome2	4.22	12.7	0.0	No	2.0	8.47678369195923	1.173	11.218		GetAnswer	Loss
1.0	1	11.248	0.03	164.506	12.7	2.11	11.5875	4.0	955.0	1.82	Outcome2	4.22	12.7	0.0	No		8.47678369195923				ShowChoice	Loss
1.0	1	15.26	0.012	168.518	12.7	2.11	11.5875	1.0	955.0	1.82	Outcome2	4.22	12.7	0.0	No		8.47678369195923				ShowResult	Loss
1.0	1	16.28	0.02	169.538	12.7	2.11	11.5875	2.431	955.0	1.82	Outcome2	4.22	12.7	0.0	No		8.47678369195923				ISITrial	Loss
2.0	1	18.738	0.027	171.996	7.7	-0.67	12.55	3.0	955.0	3.16	Outcome2	-1.34	7.7	0.0	No	2.0	9.04190260475651	1.483	20.221		GetAnswer	Gain
2.0	1	20.242	0.021	173.5	7.7	-0.67	12.55	4.0	955.0	3.16	Outcome2	-1.34	7.7	0.0	No		9.04190260475651				ShowChoice	Gain
2.0	1	24.271	0.029	177.529	7.7	-0.67	12.55	1.0	955.0	3.16	Outcome2	-1.34	7.7	0.0	No		9.04190260475651				ShowResult	Gain
2.0	1	25.29	0.019	178.548	7.7	-0.67	12.55	4.568	955.0	3.16	Outcome2	-1.34	7.7	0.0	No		9.04190260475651				ISITrial	Gain
3.0	1	29.888	0.03	183.146	4.5	0.0	13.1125	3.0	955.0	1.68	Outcome2	-5.11	4.5	2868.0	Yes	2.0	9.60702151755379	1.148	31.036		GetAnswer	Gain
