trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-46.091	0.021	18.018				-0.001								{SPACE}		4.07	-42.021		Welcome	
	0	-41.995	0.026	22.114				5.0													LifeHappyPreview	
	0	-36.964	0.031	27.145				1.127												776.0	LifeHappiness	
	0	-19.16	0.013	44.949				4.0													BlockHappyPreview	
	0	-15.148	0.012	48.961				2.539												740.0	BlockStartHappiness	
	0	-4.199	0.015	59.91				-0.001								5.0					ScanWait	
	1	0.014	0.014	64.123				10.0													GetReady	
1.0	1	10.027	0.013	74.136	0.23	0.0	10.0288	3.0	955.0	0.52	Outcome2	1.1	0.23	0.0	No	2.0	-0.872499056247641	1.14	11.167		GetAnswer	Mixed
1.0	1	11.181	0.014	75.29	0.23	0.0	10.0288	4.0	955.0	0.52	Outcome2	1.1	0.23	0.0	No		-0.872499056247641				ShowChoice	Mixed
1.0	1	15.193	0.012	79.302	0.23	0.0	10.0288	1.0	955.0	0.52	Outcome2	1.1	0.23	0.0	No		-0.872499056247641				ShowResult	Mixed
1.0	1	16.213	0.02	80.322	0.23	0.0	10.0288	2.431	955.0	0.52	Outcome2	1.1	0.23	0.0	No		-0.872499056247641				ISITrial	Mixed
2.0	1	18.67	0.026	82.779	-3.0	-3.0	9.6538	3.0	955.0	0.4	Certain	-5.0	-1.1	0.0	No	4.0	3.89580973952435	2.077	20.747		GetAnswer	Mixed
2.0	1	20.76	0.013	84.869	-3.0	-3.0	9.6538	4.0	955.0	0.4	Certain	-5.0	-1.1	0.0	No		3.89580973952435				ShowChoice	Mixed
2.0	1	24.772	0.012	88.881	-3.0	-3.0	9.6538	1.0	955.0	0.4	Certain	-5.0	-1.1	0.0	No		3.89580973952435				ShowResult	Mixed
2.0	1	25.791	0.019	89.9	-3.0	-3.0	9.6538	4.568	955.0	0.4	Certain	-5.0	-1.1	0.0	No		3.89580973952435				ISITrial	Mixed
3.0	1	30.389	0.03	94.498	-2.0	-2.0	9.4038	3.0	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes	4.0	-0.9130804077010191	1.542	31.931		GetAnswer	Mixed
3.0	1	31.943	0.012	96.052	-2.0	-2.0	9.4038	4.0	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes		-0.9130804077010191				ShowChoice	Mixed
3.0	1	35.955	0.012	100.064	-2.0	-2.0	9.4038	1.0	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes		-0.9130804077010191				ShowResult	Mixed
3.0	1	36.975	0.02	101.084	-2.0	-2.0	9.4038	3.243	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes		-0.9130804077010191				ISITrial	Mixed
3.0	1	43.127	0.024	107.236	-2.0	-2.0	9.4038	0.925	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes	2{-2}	-0.9130804077010191	0.925	44.052	680.0	TrialHappiness	Mixed
3.0	1	47.139	4.012	111.248	-2.0	-2.0	9.4038	3.472	955.0	0.3	Certain	-2.21	-1.3	2868.0	Yes		-0.9130804077010191				ISIRate	Mixed
4.0	1	50.633	0.022	114.742	6.7	0.65	10.2413	3.0	955.0	1.82	Outcome2	1.3	6.7	0.0	No	2.0	5.40203850509626	1.046	51.679		GetAnswer	Gain
4.0	1	51.702	0.023	115.811	6.7	0.65	10.2413	4.0	955.0	1.82	Outcome2	1.3	6.7	0.0	No		5.40203850509626				ShowChoice	Gain
4.0	1	55.714	0.012	119.823	6.7	0.65	10.2413	1.0	955.0	1.82	Outcome2	1.3	6.7	0.0	No		5.40203850509626				ShowResult	Gain
4.0	1	56.734	0.02	120.843	6.7	0.65	10.2413	2.011	955.0	1.82	Outcome2	1.3	6.7	0.0	No		5.40203850509626				ISITrial	Gain
5.0	1	58.774	0.029	122.883	-4.0	-4.0	9.7413	3.0	955.0	0.2	Certain	-1.5	-7.21	2582.5	Yes	4.0	5.713476783691959	2.101	60.875		GetAnswer	Mixed
5.0	1	60.897	0.021	125.006	-4.0	-4.0	9.7413	4.0	955.0	0.2	Certain	-1.5	-7.21	2582.5	Yes		5.713476783691959				ShowChoice	Mixed
5.0	1	64.909	0.012	129.018	-4.0	-4.0	9.7413	1.0	955.0	0.2	Certain	-1.5	-7.21	2582.5	Yes		5.713476783691959				ShowResult	Mixed
5.0	1	65.928	0.019	130.037	-4.0	-4.0	9.7413	5.129	955.0	0.2	Certain	-1.5	-7.21	2582.5	Yes		5.713476783691959				ISITrial	Mixed
5.0	1	73.685	0.026	137.794	-4.0	-4.0	9.7413	2.028	955.0	0.2	Certain	-1.5	-7.21	2582.5	Yes		5.713476783691959			552.0	TrialHappiness	Mixed
