trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-43.12	0.039	35.625				-0.001								{SPACE}		7.166	-35.954		Welcome	
	0	-35.923	0.031	42.822				5.0													LifeHappyPreview	
	0	-30.891	0.032	47.854				1.489												904.0	LifeHappiness	
	0	-14.53	0.016	64.215				4.0													BlockHappyPreview	
	0	-10.515	0.015	68.23				1.672												840.0	BlockStartHappiness	
	0	-3.184	0.018	75.561				-0.001								5.0					ScanWait	
	1	0.015	0.015	78.76				10.0													GetReady	
1.0	1	10.045	0.03	88.79	7.5	2.78	10.9375	3.0	955.0	2.8	Outcome2	5.55	7.5	0.0	No	2.0	1.95356738391846	1.24	11.285		GetAnswer	Gain
1.0	1	11.311	0.026	90.056	7.5	2.78	10.9375	4.0	955.0	2.8	Outcome2	5.55	7.5	0.0	No		1.95356738391846				ShowChoice	Gain
1.0	1	15.326	0.015	94.071	7.5	2.78	10.9375	1.0	955.0	2.8	Outcome2	5.55	7.5	0.0	No		1.95356738391846				ShowResult	Gain
1.0	1	16.343	0.017	95.088	7.5	2.78	10.9375	2.431	955.0	2.8	Outcome2	5.55	7.5	0.0	No		1.95356738391846				ISITrial	Gain
2.0	1	18.792	0.018	97.537	3.81	3.81	11.4137	3.0	955.0	3.16	Certain	7.62	9.7	0.0	No	4.0	2.0838052095130197	2.781	21.573		GetAnswer	Gain
2.0	1	21.591	0.018	100.336	3.81	3.81	11.4137	4.0	955.0	3.16	Certain	7.62	9.7	0.0	No		2.0838052095130197				ShowChoice	Gain
2.0	1	25.606	0.015	104.351	3.81	3.81	11.4137	1.0	955.0	3.16	Certain	7.62	9.7	0.0	No		2.0838052095130197				ShowResult	Gain
2.0	1	26.622	0.016	105.367	3.81	3.81	11.4137	4.568	955.0	3.16	Certain	7.62	9.7	0.0	No		2.0838052095130197				ISITrial	Gain
3.0	1	31.221	0.031	109.966	8.1	2.94	12.4262	3.0	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes	2.0	2.21404303510759	1.987	33.208		GetAnswer	Gain
3.0	1	33.22	0.012	111.965	8.1	2.94	12.4262	4.0	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes		2.21404303510759				ShowChoice	Gain
3.0	1	37.235	0.015	115.98	8.1	2.94	12.4262	1.0	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes		2.21404303510759				ShowResult	Gain
3.0	1	38.252	0.017	116.997	8.1	2.94	12.4262	3.243	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes		2.21404303510759				ISITrial	Gain
3.0	1	44.399	0.014	123.144	8.1	2.94	12.4262	1.856	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes		2.21404303510759			872.0	TrialHappiness	Gain
3.0	1	48.415	4.016	127.16	8.1	2.94	12.4262	3.472	955.0	4.2	Outcome1	8.1	5.89	2868.0	Yes		2.21404303510759				ISIRate	Gain
4.0	1	51.914	0.027	130.659	4.9	1.55	13.0387	3.0	955.0	2.0	Outcome1	4.9	3.1	0.0	No	2.0	1.80067950169875	2.264	54.178		GetAnswer	Gain
4.0	1	54.196	0.018	132.941	4.9	1.55	13.0387	4.0	955.0	2.0	Outcome1	4.9	3.1	0.0	No		1.80067950169875				ShowChoice	Gain
4.0	1	58.211	0.015	136.956	4.9	1.55	13.0387	1.0	955.0	2.0	Outcome1	4.9	3.1	0.0	No		1.80067950169875				ShowResult	Gain
4.0	1	59.228	0.017	137.973	4.9	1.55	13.0387	2.011	955.0	2.0	Outcome1	4.9	3.1	0.0	No		1.80067950169875				ISITrial	Gain
5.0	1	61.26	0.021	140.005	0.92	1.0	13.1537	3.0	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496				GetAnswer	Mixed
5.0	1	64.276	0.016	143.021	0.92	1.0	13.1537	4.0	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496				ShowChoice	Mixed
5.0	1	68.291	0.015	147.036	0.92	1.0	13.1537	1.0	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496				ShowResult	Mixed
5.0	1	69.308	0.017	148.053	0.92	1.0	13.1537	5.129	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496				ISITrial	Mixed
5.0	1	77.055	0.017	155.8	0.92	1.0	13.1537	1.956	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496			832.0	TrialHappiness	Mixed
5.0	1	81.07	4.015	159.815	0.92	1.0	13.1537	2.33	955.0	0.66	Outcome1	0.92	1.3	2582.5	Yes		-0.37721781804454496				ISIRate	Mixed
6.0	1	83.419	0.019	162.164	7.1	2.22	14.0412	3.0	955.0	2.22	Outcome1	7.1	4.43	0.0	No	2.0	2.6681766704416803	1.319	84.738		GetAnswer	Gain
