trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-30.143	0.033	13.172				-0.001								{SPACE}		1.496	-28.647		Welcome	
	0	-28.627	0.02	14.688				5.0													LifeHappyPreview	
	0	-23.595	0.032	19.72				1.206												784.0	LifeHappiness	
	0	-13.549	0.026	29.766				4.0													BlockHappyPreview	
	0	-9.534	0.015	33.781				1.438												752.0	BlockStartHappiness	
	0	-3.253	0.019	40.062				-0.001								5.0					ScanWait	
	1	0.013	0.013	43.328				10.0													GetReady	
1.0	1	10.043	0.03	53.358	0.0	0.0	10.0	3.0	955.0	1.5	Certain	-1.35	2.1	0.0	No	4.0	3.4484711211778	1.522	11.565		GetAnswer	Mixed
1.0	1	11.592	0.027	54.907	0.0	0.0	10.0	4.0	955.0	1.5	Certain	-1.35	2.1	0.0	No		3.4484711211778				ShowChoice	Mixed
1.0	1	15.608	0.016	58.923	0.0	0.0	10.0	1.0	955.0	1.5	Certain	-1.35	2.1	0.0	No		3.4484711211778				ShowResult	Mixed
1.0	1	16.624	0.016	59.939	0.0	0.0	10.0	2.431	955.0	1.5	Certain	-1.35	2.1	0.0	No		3.4484711211778				ISITrial	Mixed
2.0	1	19.073	0.018	62.388	13.7	5.01	11.7125	3.0	955.0	3.16	Outcome1	13.7	10.02	0.0	No	2.0	3.6783691959229903	0.736	19.809		GetAnswer	Loss
2.0	1	19.823	0.014	63.138	13.7	5.01	11.7125	4.0	955.0	3.16	Outcome1	13.7	10.02	0.0	No		3.6783691959229903				ShowChoice	Loss
2.0	1	23.838	0.015	67.153	13.7	5.01	11.7125	1.0	955.0	3.16	Outcome1	13.7	10.02	0.0	No		3.6783691959229903				ShowResult	Loss
2.0	1	24.854	0.016	68.169	13.7	5.01	11.7125	4.568	955.0	3.16	Outcome1	13.7	10.02	0.0	No		3.6783691959229903				ISITrial	Loss
3.0	1	29.453	0.031	72.768	12.1	4.1	13.225	3.0	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes	2.0	3.90826727066818	0.963	30.416		GetAnswer	Loss
3.0	1	30.436	0.02	73.751	12.1	4.1	13.225	4.0	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes		3.90826727066818				ShowChoice	Loss
3.0	1	34.451	0.015	77.766	12.1	4.1	13.225	1.0	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes		3.90826727066818				ShowResult	Loss
3.0	1	35.467	0.016	78.782	12.1	4.1	13.225	3.243	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes		3.90826727066818				ISITrial	Loss
3.0	1	41.632	0.031	84.947	12.1	4.1	13.225	2.289	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes		3.90826727066818			696.0	TrialHappiness	Loss
3.0	1	45.647	4.015	88.962	12.1	4.1	13.225	3.472	955.0	4.2	Outcome1	12.1	8.19	2868.0	Yes		3.90826727066818				ISIRate	Loss
4.0	1	49.146	0.027	92.461	11.19	5.6	14.6238	3.0	955.0	5.0	Outcome1	11.19	12.3	0.0	No	2.0	-1.1085315213288	0.827	49.973		GetAnswer	Loss
4.0	1	49.996	0.023	93.311	11.19	5.6	14.6238	4.0	955.0	5.0	Outcome1	11.19	12.3	0.0	No		-1.1085315213288				ShowChoice	Loss
