trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-42.816	0.021	13.196				-0.001								{SPACE}		2.554	-40.262		Welcome	
	0	-40.242	0.02	15.77				5.0													LifeHappyPreview	
	0	-35.21	0.032	20.802				4.818												744.0	LifeHappiness	
	0	-29.276	0.016	26.736				4.0													BlockHappyPreview	
	0	-25.264	0.012	30.748				3.2												688.0	BlockStartHappiness	
	0	-6.675	0.02	49.337				-0.001								5.0					ScanWait	
	1	0.028	0.028	56.04				10.0													GetReady	
1.0	1	10.058	0.03	66.07	-2.0	-2.0	9.75	3.0	955.0	1.2	Certain	-4.64	-0.1	0.0	No	4.0	4.535673839184599	0.973	11.031		GetAnswer	Mixed
1.0	1	11.044	0.013	67.056	-2.0	-2.0	9.75	4.0	955.0	1.2	Certain	-4.64	-0.1	0.0	No		4.535673839184599				ShowChoice	Mixed
1.0	1	15.073	0.029	71.085	-2.0	-2.0	9.75	1.0	955.0	1.2	Certain	-4.64	-0.1	0.0	No		4.535673839184599				ShowResult	Mixed
1.0	1	16.093	0.02	72.105	-2.0	-2.0	9.75	2.431	955.0	1.2	Certain	-4.64	-0.1	0.0	No		4.535673839184599				ISITrial	Mixed
2.0	1	18.55	0.026	74.562	12.39	6.2	11.2988	3.0	955.0	2.8	Outcome2	13.5	12.39	0.0	No	2.0	-1.10872027180068	0.834	19.384		GetAnswer	Loss
2.0	1	19.403	0.019	75.415	12.39	6.2	11.2988	4.0	955.0	2.8	Outcome2	13.5	12.39	0.0	No		-1.10872027180068				ShowChoice	Loss
2.0	1	23.431	0.028	79.443	12.39	6.2	11.2988	1.0	955.0	2.8	Outcome2	13.5	12.39	0.0	No		-1.10872027180068				ShowResult	Loss
2.0	1	24.451	0.02	80.463	12.39	6.2	11.2988	4.568	955.0	2.8	Outcome2	13.5	12.39	0.0	No		-1.10872027180068				ISITrial	Loss
3.0	1	29.048	0.029	85.06	7.5	1.18	12.2363	3.0	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes	2.0	5.14043035107588	0.812	29.86		GetAnswer	Gain
3.0	1	29.884	0.024	85.896	7.5	1.18	12.2363	4.0	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes		5.14043035107588				ShowChoice	Gain
3.0	1	33.913	0.029	89.925	7.5	1.18	12.2363	1.0	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes		5.14043035107588				ShowResult	Gain
3.0	1	34.932	0.019	90.944	7.5	1.18	12.2363	3.243	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes		5.14043035107588				ISITrial	Gain
3.0	1	41.084	0.024	97.096	7.5	1.18	12.2363	2.029	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes		5.14043035107588			752.0	TrialHappiness	Gain
3.0	1	45.113	4.029	101.125	7.5	1.18	12.2363	3.472	955.0	2.8	Outcome2	2.36	7.5	2868.0	Yes		5.14043035107588				ISIRate	Gain
4.0	1	48.607	0.022	104.619	4.6	2.3	12.8113	3.0	955.0	2.8	Outcome1	4.6	5.5	0.0	No	2.0	-0.8993959984899961	0.755	49.362		GetAnswer	Gain
4.0	1	49.392	0.03	105.404	4.6	2.3	12.8113	4.0	955.0	2.8	Outcome1	4.6	5.5	0.0	No		-0.8993959984899961				ShowChoice	Gain
4.0	1	53.404	0.012	109.416	4.6	2.3	12.8113	1.0	955.0	2.8	Outcome1	4.6	5.5	0.0	No		-0.8993959984899961				ShowResult	Gain
4.0	1	54.424	0.02	110.436	4.6	2.3	12.8113	2.011	955.0	2.8	Outcome1	4.6	5.5	0.0	No		-0.8993959984899961				ISITrial	Gain
5.0	1	56.463	0.028	112.475	-1.42	-1.0	12.6338	3.0	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes	2.0	-0.918554171385429	1.234	57.697		GetAnswer	Mixed
5.0	1	57.717	0.02	113.729	-1.42	-1.0	12.6338	4.0	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes		-0.918554171385429				ShowChoice	Mixed
5.0	1	61.746	0.029	117.758	-1.42	-1.0	12.6338	1.0	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes		-0.918554171385429				ShowResult	Mixed
5.0	1	62.766	0.02	118.778	-1.42	-1.0	12.6338	5.129	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes		-0.918554171385429				ISITrial	Mixed
5.0	1	70.522	0.026	126.534	-1.42	-1.0	12.6338	1.796	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes		-0.918554171385429			624.0	TrialHappiness	Mixed
5.0	1	74.551	4.029	130.563	-1.42	-1.0	12.6338	2.33	955.0	0.82	Outcome1	-1.42	-0.5	2582.5	Yes		-0.918554171385429				ISIRate	Mixed
6.0	1	76.908	0.027	132.92	1.0	1.0	12.7588	3.0	955.0	2.0	Certain	-2.09	4.9	0.0	No	4.0	6.98980747451869	0.914	77.822		GetAnswer	Gain
6.0	1	77.844	0.022	133.856	1.0	1.0	12.7588	4.0	955.0	2.0	Certain	-2.09	4.9	0.0	No		6.98980747451869				ShowChoice	Gain
6.0	1	81.856	0.012	137.868	1.0	1.0	12.7588	1.0	955.0	2.0	Certain	-2.09	4.9	0.0	No		6.98980747451869				ShowResult	Gain
6.0	1	82.876	0.02	138.888	1.0	1.0	12.7588	6.232	955.0	2.0	Certain	-2.09	4.9	0.0	No		6.98980747451869				ISITrial	Gain
7.0	1	89.128	0.02	145.14	0.0	0.0	12.7588	3.0	955.0	0.52	Certain	-4.26	3.1	0.0	No	4.0	7.364665911664781	1.213	90.341		GetAnswer	Mixed
7.0	1	90.365	0.024	146.377	0.0	0.0	12.7588	4.0	955.0	0.52	Certain	-4.26	3.1	0.0	No		7.364665911664781				ShowChoice	Mixed
7.0	1	94.393	0.028	150.405	0.0	0.0	12.7588	1.0	955.0	0.52	Certain	-4.26	3.1	0.0	No		7.364665911664781				ShowResult	Mixed
7.0	1	95.413	0.02	151.425	0.0	0.0	12.7588	2.305	955.0	0.52	Certain	-4.26	3.1	0.0	No		7.364665911664781				ISITrial	Mixed
8.0	1	97.737	0.019	153.749	-3.0	-3.0	12.3838	3.0	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes	4.0	7.73952434881087	1.764	99.501		GetAnswer	Mixed
8.0	1	99.525	0.024	155.537	-3.0	-3.0	12.3838	4.0	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes		7.73952434881087				ShowChoice	Mixed
8.0	1	103.537	0.012	159.549	-3.0	-3.0	12.3838	1.0	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes		7.73952434881087				ShowResult	Mixed
8.0	1	104.557	0.02	160.569	-3.0	-3.0	12.3838	3.506	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes		7.73952434881087				ISITrial	Mixed
8.0	1	111.227	0.031	167.239	-3.0	-3.0	12.3838	0.676	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes		7.73952434881087			560.0	TrialHappiness	Mixed
8.0	1	115.256	4.029	171.268	-3.0	-3.0	12.3838	4.45	955.0	0.2	Certain	-7.24	0.5	3112.5	Yes		7.73952434881087				ISIRate	Mixed
9.0	1	119.736	0.03	175.748	-5.0	-5.0	11.7588	3.0	955.0	0.4	Certain	-1.1	-10.3	0.0	No	4.0	9.20158550396376	1.651	121.387		GetAnswer	Mixed
9.0	1	121.407	0.02	177.419	-5.0	-5.0	11.7588	4.0	955.0	0.4	Certain	-1.1	-10.3	0.0	No		9.20158550396376				ShowChoice	Mixed
9.0	1	125.436	0.029	181.448	-5.0	-5.0	11.7588	1.0	955.0	0.4	Certain	-1.1	-10.3	0.0	No		9.20158550396376				ShowResult	Mixed
9.0	1	126.456	0.02	182.468	-5.0	-5.0	11.7588	2.0	955.0	0.4	Certain	-1.1	-10.3	0.0	No		9.20158550396376				ISITrial	Mixed
10.0	1	128.478	0.022	184.49	1.0	1.0	11.8838	3.0	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes	4.0	9.64892412231031	1.232	129.71		GetAnswer	Gain
10.0	1	129.732	0.022	185.744	1.0	1.0	11.8838	4.0	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes		9.64892412231031				ShowChoice	Gain
10.0	1	133.744	0.012	189.756	1.0	1.0	11.8838	1.0	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes		9.64892412231031				ShowResult	Gain
10.0	1	134.764	0.02	190.776	1.0	1.0	11.8838	2.0	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes		9.64892412231031				ISITrial	Gain
10.0	1	140.815	0.028	196.827	1.0	1.0	11.8838	0.727	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes		9.64892412231031			560.0	TrialHappiness	Gain
10.0	1	144.844	4.029	200.856	1.0	1.0	11.8838	8.0	955.0	4.2	Certain	6.1	-3.55	4000.0	Yes		9.64892412231031				ISIRate	Gain
11.0	1	152.868	0.024	208.88	6.81	3.4	12.735	3.0	955.0	1.82	Outcome2	8.7	6.81	0.0	No	2.0	-1.88514533786334	0.908	153.776		GetAnswer	Gain
11.0	1	153.804	0.028	209.816	6.81	3.4	12.735	4.0	955.0	1.82	Outcome2	8.7	6.81	0.0	No		-1.88514533786334				ShowChoice	Gain
11.0	1	157.816	0.012	213.828	6.81	3.4	12.735	1.0	955.0	1.82	Outcome2	8.7	6.81	0.0	No		-1.88514533786334				ShowResult	Gain
11.0	1	158.836	0.02	214.848	6.81	3.4	12.735	3.324	955.0	1.82	Outcome2	8.7	6.81	0.0	No		-1.88514533786334				ISITrial	Gain
12.0	1	162.179	0.019	218.191	4.58	2.29	13.3075	3.0	955.0	1.68	Outcome2	6.5	4.58	2618.75	Yes	2.0	-1.9224235560588898	0.891	163.07		GetAnswer	Gain
