trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-49.21	0.005	19.083				-0.001								{SPACE}		4.208	-45.002		Welcome	
	0	-44.981	0.021	23.312				5.0													LifeHappyPreview	
	0	-39.949	0.032	28.344				2.047												776.0	LifeHappiness	
	0	-16.914	0.025	51.379				4.0													BlockHappyPreview	
	0	-12.902	0.012	55.391				2.815												672.0	BlockStartHappiness	
	0	-2.822	0.022	65.471				-0.001								5.0					ScanWait	
	1	0.02	0.02	68.313				10.0													GetReady	
1.0	1	10.033	0.013	78.326	1.75	2.0	10.2188	3.0	955.0	0.4	Outcome2	2.9	1.75	0.0	No	2.0	-1.1484522461306201	1.193	11.226		GetAnswer	Mixed
1.0	1	11.254	0.028	79.547	1.75	2.0	10.2188	4.0	955.0	0.4	Outcome2	2.9	1.75	0.0	No		-1.1484522461306201				ShowChoice	Mixed
1.0	1	15.266	0.012	83.559	1.75	2.0	10.2188	1.0	955.0	0.4	Outcome2	2.9	1.75	0.0	No		-1.1484522461306201				ShowResult	Mixed
1.0	1	16.285	0.019	84.578	1.75	2.0	10.2188	2.431	955.0	0.4	Outcome2	2.9	1.75	0.0	No		-1.1484522461306201				ISITrial	Mixed
2.0	1	18.743	0.027	87.036	5.9	0.38	10.9563	3.0	955.0	3.6	Outcome2	0.77	5.9	0.0	No	2.0	5.127972819932049	0.985	19.728		GetAnswer	Gain
2.0	1	19.746	0.018	88.039	5.9	0.38	10.9563	4.0	955.0	3.6	Outcome2	0.77	5.9	0.0	No		5.127972819932049				ShowChoice	Gain
2.0	1	23.758	0.012	92.051	5.9	0.38	10.9563	1.0	955.0	3.6	Outcome2	0.77	5.9	0.0	No		5.127972819932049				ShowResult	Gain
2.0	1	24.777	0.019	93.07	5.9	0.38	10.9563	4.568	955.0	3.6	Outcome2	0.77	5.9	0.0	No		5.127972819932049				ISITrial	Gain
3.0	1	29.374	0.029	97.667	1.9	2.0	11.1938	3.0	955.0	0.52	Outcome1	1.9	3.1	2868.0	Yes	2.0	-1.2018686296715702	1.088	30.462		GetAnswer	Mixed
3.0	1	30.478	0.016	98.771	1.9	2.0	11.1938	4.0	955.0	0.52	Outcome1	1.9	3.1	2868.0	Yes		-1.2018686296715702				ShowChoice	Mixed
3.0	1	34.49	0.012	102.783	1.9	2.0	11.1938	1.0	955.0	0.52	Outcome1	1.9	3.1	2868.0	Yes		-1.2018686296715702				ShowResult	Mixed
3.0	1	35.509	0.019	103.802	1.9	2.0	11.1938	3.243	955.0	0.52	Outcome1	1.9	3.1	2868.0	Yes		-1.2018686296715702				ISITrial	Mixed
