trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-34.535	0.021	18.721				-0.001								{SPACE}		2.484	-32.051		Welcome	
	0	-32.019	0.032	21.237				5.0													LifeHappyPreview	
	0	-26.987	0.032	26.269				1.156												360.0	LifeHappiness	
	0	-11.559	0.029	41.697				4.0													BlockHappyPreview	
	0	-7.544	0.015	45.712				1.754												368.0	BlockStartHappiness	
	0	-1.596	0.024	51.66				-0.001								5.0					ScanWait	
	1	0.02	0.02	53.276				10.0													GetReady	
1.0	1	10.05	0.03	63.306	-3.88	-2.0	9.515	3.0	955.0	0.2	Outcome2	-1.5	-3.88	0.0	No	2.0	-2.38212533031333	1.214	11.264		GetAnswer	Mixed
1.0	1	11.283	0.019	64.539	-3.88	-2.0	9.515	4.0	955.0	0.2	Outcome2	-1.5	-3.88	0.0	No		-2.38212533031333				ShowChoice	Mixed
1.0	1	15.298	0.015	68.554	-3.88	-2.0	9.515	1.0	955.0	0.2	Outcome2	-1.5	-3.88	0.0	No		-2.38212533031333				ShowResult	Mixed
1.0	1	16.314	0.016	69.57	-3.88	-2.0	9.515	2.431	955.0	0.2	Outcome2	-1.5	-3.88	0.0	No		-2.38212533031333				ISITrial	Mixed
2.0	1	18.763	0.018	72.019	-1.0	-1.0	9.39	3.0	955.0	2.0	Certain	-6.34	4.3	0.0	No	4.0	10.6364665911665	1.671	20.434		GetAnswer	Mixed
2.0	1	20.463	0.029	73.719	-1.0	-1.0	9.39	4.0	955.0	2.0	Certain	-6.34	4.3	0.0	No		10.6364665911665				ShowChoice	Mixed
2.0	1	24.478	0.015	77.734	-1.0	-1.0	9.39	1.0	955.0	2.0	Certain	-6.34	4.3	0.0	No		10.6364665911665				ShowResult	Mixed
2.0	1	25.494	0.016	78.75	-1.0	-1.0	9.39	4.568	955.0	2.0	Certain	-6.34	4.3	0.0	No		10.6364665911665				ISITrial	Mixed
3.0	1	30.093	0.031	83.349	-3.0	-3.0	9.015	3.0	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes	4.0	11.301245753114399	1.802	31.895		GetAnswer	Mixed
3.0	1	31.925	0.03	85.181	-3.0	-3.0	9.015	4.0	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes		11.301245753114399				ShowChoice	Mixed
3.0	1	35.941	0.016	89.197	-3.0	-3.0	9.015	1.0	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes		11.301245753114399				ShowResult	Mixed
3.0	1	36.957	0.016	90.213	-3.0	-3.0	9.015	3.243	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes		11.301245753114399				ISITrial	Mixed
3.0	1	43.121	0.031	96.377	-3.0	-3.0	9.015	0.872	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes		11.301245753114399			360.0	TrialHappiness	Mixed
3.0	1	47.137	4.016	100.393	-3.0	-3.0	9.015	3.472	955.0	0.3	Certain	2.7	-8.6	2868.0	Yes		11.301245753114399				ISIRate	Mixed
4.0	1	50.635	0.026	103.891	2.0	2.0	9.265	3.0	955.0	3.6	Certain	7.9	-4.2	0.0	No	4.0	12.101925254813098	1.365	52.0		GetAnswer	Gain
4.0	1	52.018	0.018	105.274	2.0	2.0	9.265	4.0	955.0	3.6	Certain	7.9	-4.2	0.0	No		12.101925254813098				ShowChoice	Gain
4.0	1	56.034	0.016	109.29	2.0	2.0	9.265	1.0	955.0	3.6	Certain	7.9	-4.2	0.0	No		12.101925254813098				ShowResult	Gain
4.0	1	57.05	0.016	110.306	2.0	2.0	9.265	2.011	955.0	3.6	Certain	7.9	-4.2	0.0	No		12.101925254813098				ISITrial	Gain
5.0	1	59.083	0.022	112.339	6.7	0.0	10.1025	3.0	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes	2.0	12.775764439411098	1.1	60.183		GetAnswer	Gain
5.0	1	60.199	0.016	113.455	6.7	0.0	10.1025	4.0	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes		12.775764439411098				ShowChoice	Gain
5.0	1	64.214	0.015	117.47	6.7	0.0	10.1025	1.0	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes		12.775764439411098				ShowResult	Gain
5.0	1	65.23	0.016	118.486	6.7	0.0	10.1025	5.129	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes		12.775764439411098				ISITrial	Gain
5.0	1	72.994	0.033	126.25	6.7	0.0	10.1025	0.757	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes		12.775764439411098			456.0	TrialHappiness	Gain
5.0	1	77.01	4.016	130.266	6.7	0.0	10.1025	2.33	955.0	1.82	Outcome2	-6.08	6.7	2582.5	Yes		12.775764439411098				ISIRate	Gain
6.0	1	79.359	0.019	132.615	9.9	-0.96	11.34	3.0	955.0	3.6	Outcome1	9.9	-1.92	0.0	No	2.0	11.818799546998902	1.294	80.653		GetAnswer	Gain
6.0	1	80.675	0.022	133.931	9.9	-0.96	11.34	4.0	955.0	3.6	Outcome1	9.9	-1.92	0.0	No		11.818799546998902				ShowChoice	Gain
6.0	1	84.69	0.015	137.946	9.9	-0.96	11.34	1.0	955.0	3.6	Outcome1	9.9	-1.92	0.0	No		11.818799546998902				ShowResult	Gain
6.0	1	85.707	0.017	138.963	9.9	-0.96	11.34	6.232	955.0	3.6	Outcome1	9.9	-1.92	0.0	No		11.818799546998902				ISITrial	Gain
7.0	1	91.971	0.032	145.227	13.5	0.56	13.0275	3.0	955.0	2.8	Outcome2	1.12	13.5	0.0	No	2.0	12.3839184597961	1.425	93.396		GetAnswer	Loss
7.0	1	93.421	0.025	146.677	13.5	0.56	13.0275	4.0	955.0	2.8	Outcome2	1.12	13.5	0.0	No		12.3839184597961				ShowChoice	Loss
