trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-46.708	0.022	28.714				-0.001								{SPACE}		3.532	-43.176		Welcome	
	0	-43.148	0.028	32.274				5.0													LifeHappyPreview	
	0	-38.116	0.032	37.306				2.717												728.0	LifeHappiness	
	0	-25.729	0.023	49.693				4.0													BlockHappyPreview	
	0	-21.717	0.012	53.705				1.461												736.0	BlockStartHappiness	
	0	-10.634	0.014	64.788				-0.001								5.0					ScanWait	
	1	0.015	0.015	75.437				10.0													GetReady	
1.0	1	10.045	0.03	85.467	2.5	0.0	10.3125	3.0	955.0	0.2	Outcome2	-1.22	2.5	0.0	No	2.0	3.7202718006795	1.86	11.905		GetAnswer	Mixed
1.0	1	11.917	0.012	87.339	2.5	0.0	10.3125	4.0	955.0	0.2	Outcome2	-1.22	2.5	0.0	No		3.7202718006795				ShowChoice	Mixed
1.0	1	15.929	0.012	91.351	2.5	0.0	10.3125	1.0	955.0	0.2	Outcome2	-1.22	2.5	0.0	No		3.7202718006795				ShowResult	Mixed
1.0	1	16.949	0.02	92.371	2.5	0.0	10.3125	2.431	955.0	0.2	Outcome2	-1.22	2.5	0.0	No		3.7202718006795				ISITrial	Mixed
2.0	1	19.406	0.026	94.828	12.1	4.07	11.825	3.0	955.0	4.2	Outcome1	12.1	8.13	0.0	No	2.0	3.9682899207247995	1.506	20.912		GetAnswer	Loss
2.0	1	20.927	0.015	96.349	12.1	4.07	11.825	4.0	955.0	4.2	Outcome1	12.1	8.13	0.0	No		3.9682899207247995				ShowChoice	Loss
2.0	1	24.939	0.012	100.361	12.1	4.07	11.825	1.0	955.0	4.2	Outcome1	12.1	8.13	0.0	No		3.9682899207247995				ShowResult	Loss
2.0	1	25.959	0.02	101.381	12.1	4.07	11.825	4.568	955.0	4.2	Outcome1	12.1	8.13	0.0	No		3.9682899207247995				ISITrial	Loss
3.0	1	30.556	0.029	105.978	6.5	1.14	12.6375	3.0	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes	2.0	4.216308040770101	1.292	31.848		GetAnswer	Gain
3.0	1	31.86	0.012	107.282	6.5	1.14	12.6375	4.0	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes		4.216308040770101				ShowChoice	Gain
3.0	1	35.872	0.012	111.294	6.5	1.14	12.6375	1.0	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes		4.216308040770101				ShowResult	Gain
3.0	1	36.892	0.02	112.314	6.5	1.14	12.6375	3.243	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes		4.216308040770101				ISITrial	Gain
3.0	1	43.044	0.024	118.466	6.5	1.14	12.6375	3.301	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes		4.216308040770101			752.0	TrialHappiness	Gain
3.0	1	47.056	4.012	122.478	6.5	1.14	12.6375	3.472	955.0	1.68	Outcome2	2.28	6.5	2868.0	Yes		4.216308040770101				ISIRate	Gain
4.0	1	50.549	0.021	125.971	10.9	3.36	14.0	3.0	955.0	2.0	Outcome1	10.9	6.71	0.0	No	2.0	4.1925254813137	1.126	51.675		GetAnswer	Loss
4.0	1	51.703	0.027	127.125	10.9	3.36	14.0	4.0	955.0	2.0	Outcome1	10.9	6.71	0.0	No		4.1925254813137				ShowChoice	Loss
4.0	1	55.715	0.012	131.137	10.9	3.36	14.0	1.0	955.0	2.0	Outcome1	10.9	6.71	0.0	No		4.1925254813137				ShowResult	Loss
4.0	1	56.735	0.02	132.157	10.9	3.36	14.0	2.011	955.0	2.0	Outcome1	10.9	6.71	0.0	No		4.1925254813137				ISITrial	Loss
5.0	1	58.774	0.028	134.196	10.8	5.4	15.35	3.0	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes	2.0	-0.9049641374103442	1.393	60.167		GetAnswer	Loss
5.0	1	60.195	0.028	135.617	10.8	5.4	15.35	4.0	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes		-0.9049641374103442				ShowChoice	Loss
5.0	1	64.207	0.012	139.629	10.8	5.4	15.35	1.0	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes		-0.9049641374103442				ShowResult	Loss
5.0	1	65.227	0.02	140.649	10.8	5.4	15.35	5.129	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes		-0.9049641374103442				ISITrial	Loss
5.0	1	72.983	0.026	148.405	10.8	5.4	15.35	2.582	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes		-0.9049641374103442			768.0	TrialHappiness	Loss
5.0	1	76.995	4.012	152.417	10.8	5.4	15.35	2.33	955.0	3.16	Outcome1	10.8	11.7	2582.5	Yes		-0.9049641374103442				ISIRate	Loss
6.0	1	79.352	0.027	154.774	7.7	1.66	16.3125	3.0	955.0	3.16	Outcome1	7.7	3.32	0.0	No	2.0	4.38052095130238	1.512	80.864		GetAnswer	Gain
6.0	1	80.89	0.026	156.312	7.7	1.66	16.3125	4.0	955.0	3.16	Outcome1	7.7	3.32	0.0	No		4.38052095130238				ShowChoice	Gain
6.0	1	84.902	0.012	160.324	7.7	1.66	16.3125	1.0	955.0	3.16	Outcome1	7.7	3.32	0.0	No		4.38052095130238				ShowResult	Gain
6.0	1	85.922	0.02	161.344	7.7	1.66	16.3125	6.232	955.0	3.16	Outcome1	7.7	3.32	0.0	No		4.38052095130238				ISITrial	Gain
7.0	1	92.174	0.02	167.596	12.3	3.86	17.85	3.0	955.0	5.0	Outcome2	7.71	12.3	0.0	No	2.0	4.59229898074745	0.932	93.106		GetAnswer	Loss
7.0	1	93.127	0.021	168.549	12.3	3.86	17.85	4.0	955.0	5.0	Outcome2	7.71	12.3	0.0	No		4.59229898074745				ShowChoice	Loss
7.0	1	97.139	0.012	172.561	12.3	3.86	17.85	1.0	955.0	5.0	Outcome2	7.71	12.3	0.0	No		4.59229898074745				ShowResult	Loss
7.0	1	98.159	0.02	173.581	12.3	3.86	17.85	2.305	955.0	5.0	Outcome2	7.71	12.3	0.0	No		4.59229898074745				ISITrial	Loss
8.0	1	100.482	0.018	175.904	8.7	1.95	18.9375	3.0	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes	2.0	4.80407701019253	1.002	101.484		GetAnswer	Gain
8.0	1	101.502	0.018	176.924	8.7	1.95	18.9375	4.0	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes		4.80407701019253				ShowChoice	Gain
8.0	1	105.514	0.012	180.936	8.7	1.95	18.9375	1.0	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes		4.80407701019253				ShowResult	Gain
8.0	1	106.534	0.02	181.956	8.7	1.95	18.9375	3.506	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes		4.80407701019253				ISITrial	Gain
8.0	1	113.187	0.014	188.609	8.7	1.95	18.9375	1.578	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes		4.80407701019253			832.0	TrialHappiness	Gain
8.0	1	117.199	4.012	192.621	8.7	1.95	18.9375	4.45	955.0	1.82	Outcome1	8.7	3.9	3112.5	Yes		4.80407701019253				ISIRate	Gain
9.0	1	121.679	0.03	197.101	-1.0	-1.0	18.8125	3.0	955.0	0.3	Certain	0.7	-3.23	0.0	No	4.0	3.9286523216308	1.972	123.651		GetAnswer	Mixed
9.0	1	123.668	0.017	199.09	-1.0	-1.0	18.8125	4.0	955.0	0.3	Certain	0.7	-3.23	0.0	No		3.9286523216308				ShowChoice	Mixed
9.0	1	127.68	0.012	203.102	-1.0	-1.0	18.8125	1.0	955.0	0.3	Certain	0.7	-3.23	0.0	No		3.9286523216308				ShowResult	Mixed
9.0	1	128.7	0.02	204.122	-1.0	-1.0	18.8125	2.0	955.0	0.3	Certain	0.7	-3.23	0.0	No		3.9286523216308				ISITrial	Mixed
10.0	1	130.723	0.023	206.145	3.44	1.72	19.2425	3.0	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes	2.0	-0.6640241600604	1.573	132.296		GetAnswer	Mixed
10.0	1	132.311	0.015	207.733	3.44	1.72	19.2425	4.0	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes		-0.6640241600604				ShowChoice	Mixed
10.0	1	136.323	0.012	211.745	3.44	1.72	19.2425	1.0	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes		-0.6640241600604				ShowResult	Mixed
10.0	1	137.343	0.02	212.765	3.44	1.72	19.2425	2.0	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes		-0.6640241600604				ISITrial	Mixed
10.0	1	143.394	0.029	218.816	3.44	1.72	19.2425	3.485	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes		-0.6640241600604			800.0	TrialHappiness	Mixed
10.0	1	147.406	4.012	222.828	3.44	1.72	19.2425	8.0	955.0	1.5	Outcome1	3.44	4.1	4000.0	Yes		-0.6640241600604				ISIRate	Mixed
11.0	1	155.43	0.024	230.852	8.1	1.68	20.255	3.0	955.0	4.2	Outcome1	8.1	3.35	0.0	No	2.0	4.750849377123441	0.979	156.409		GetAnswer	Gain
11.0	1	156.433	0.024	231.855	8.1	1.68	20.255	4.0	955.0	4.2	Outcome1	8.1	3.35	0.0	No		4.750849377123441				ShowChoice	Gain
11.0	1	160.445	0.012	235.867	8.1	1.68	20.255	1.0	955.0	4.2	Outcome1	8.1	3.35	0.0	No		4.750849377123441				ShowResult	Gain
11.0	1	161.465	0.02	236.887	8.1	1.68	20.255	3.324	955.0	4.2	Outcome1	8.1	3.35	0.0	No		4.750849377123441				ISITrial	Gain
12.0	1	164.808	0.019	240.23	-1.0	-1.0	20.13	3.0	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes	4.0	-0.820120800302001	1.949	166.757		GetAnswer	Mixed
12.0	1	166.781	0.024	242.203	-1.0	-1.0	20.13	4.0	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes		-0.820120800302001				ShowChoice	Mixed
12.0	1	170.793	0.012	246.215	-1.0	-1.0	20.13	1.0	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes		-0.820120800302001				ShowResult	Mixed
12.0	1	171.812	0.019	247.234	-1.0	-1.0	20.13	6.642	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes		-0.820120800302001				ISITrial	Mixed
12.0	1	181.107	0.022	256.529	-1.0	-1.0	20.13	2.983	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes	2{-2}2{-2}2{-2}2{-2}4{-4}2{-2}	-0.820120800302001	2.983	184.09	796.0	TrialHappiness	Mixed
12.0	1	185.119	4.012	260.541	-1.0	-1.0	20.13	2.475	955.0	0.3	Certain	-1.3	-2.12	2618.75	Yes		-0.820120800302001				ISIRate	Mixed
13.0	1	187.61	0.016	263.032	13.05	6.52	21.7612	3.0	955.0	3.6	Outcome2	13.9	13.05	0.0	No	2.0	-0.850981502453756	1.39	189.0		GetAnswer	Loss
13.0	1	189.014	0.014	264.436	13.05	6.52	21.7612	4.0	955.0	3.6	Outcome2	13.9	13.05	0.0	No		-0.850981502453756				ShowChoice	Loss
13.0	1	193.026	0.012	268.448	13.05	6.52	21.7612	1.0	955.0	3.6	Outcome2	13.9	13.05	0.0	No		-0.850981502453756				ShowResult	Loss
13.0	1	194.046	0.02	269.468	13.05	6.52	21.7612	3.48	955.0	3.6	Outcome2	13.9	13.05	0.0	No		-0.850981502453756				ISITrial	Loss
14.0	1	197.556	0.03	272.978	12.9	3.78	23.3737	3.0	955.0	2.0	Outcome2	7.55	12.9	0.0	No	2.0	5.34994337485844	1.202	198.758		GetAnswer	Loss
14.0	1	198.776	0.018	274.198	12.9	3.78	23.3737	4.0	955.0	2.0	Outcome2	7.55	12.9	0.0	No		5.34994337485844				ShowChoice	Loss
14.0	1	202.788	0.012	278.21	12.9	3.78	23.3737	1.0	955.0	2.0	Outcome2	7.55	12.9	0.0	No		5.34994337485844				ShowResult	Loss
14.0	1	203.808	0.02	279.23	12.9	3.78	23.3737	5.019	955.0	2.0	Outcome2	7.55	12.9	0.0	No		5.34994337485844				ISITrial	Loss
15.0	1	208.857	0.03	284.279	0.9	-2.0	23.4862	3.0	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes	2.0	5.53001132502831	2.71	211.567		GetAnswer	Mixed
15.0	1	211.581	0.014	287.003	0.9	-2.0	23.4862	4.0	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes		5.53001132502831				ShowChoice	Mixed
15.0	1	215.593	0.012	291.015	0.9	-2.0	23.4862	1.0	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes		5.53001132502831				ShowResult	Mixed
15.0	1	216.613	0.02	292.035	0.9	-2.0	23.4862	7.614	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes		5.53001132502831				ISITrial	Mixed
15.0	1	227.63	0.029	303.052	0.9	-2.0	23.4862	1.576	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes		5.53001132502831			776.0	TrialHappiness	Mixed
15.0	1	231.642	4.012	307.064	0.9	-2.0	23.4862	5.394	955.0	0.4	Outcome2	-4.63	0.9	3348.5	Yes		5.53001132502831				ISIRate	Mixed
16.0	1	237.058	0.022	312.48	8.5	1.23	24.5487	3.0	955.0	1.68	Outcome2	2.45	8.5	0.0	No	2.0	6.04983012457531	1.523	238.581		GetAnswer	Gain
16.0	1	238.596	0.015	314.018	8.5	1.23	24.5487	4.0	955.0	1.68	Outcome2	2.45	8.5	0.0	No		6.04983012457531				ShowChoice	Gain
16.0	1	242.608	0.012	318.03	8.5	1.23	24.5487	1.0	955.0	1.68	Outcome2	2.45	8.5	0.0	No		6.04983012457531				ShowResult	Gain
16.0	1	243.627	0.019	319.049	8.5	1.23	24.5487	3.008	955.0	1.68	Outcome2	2.45	8.5	0.0	No		6.04983012457531				ISITrial	Gain
17.0	1	246.653	0.018	322.075	0.0	0.0	24.5487	3.0	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes	4.0	-0.9940543601359001	2.638	249.291		GetAnswer	Mixed
17.0	1	249.311	0.02	324.733	0.0	0.0	24.5487	4.0	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes		-0.9940543601359001				ShowChoice	Mixed
17.0	1	253.323	0.012	328.745	0.0	0.0	24.5487	1.0	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes		-0.9940543601359001				ShowResult	Mixed
17.0	1	254.343	0.02	329.765	0.0	0.0	24.5487	3.566	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes		-0.9940543601359001				ISITrial	Mixed
17.0	1	260.979	0.017	336.401	0.0	0.0	24.5487	3.585	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes	2{-2}2{-2}2{-2}2{-2}	-0.9940543601359001	3.585	264.564	776.0	TrialHappiness	Mixed
17.0	1	264.991	4.012	340.413	0.0	0.0	24.5487	4.166	955.0	2.0	Certain	-0.69	0.3	3041.5	Yes		-0.9940543601359001				ISIRate	Mixed
