trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-44.406	0.038	31.663				-0.001								{SPACE}		3.788	-40.618		Welcome	
	0	-40.594	0.024	35.475				5.0													LifeHappyPreview	
	0	-35.563	0.031	40.506				0.0												512.0	LifeHappiness	
	0	-18.662	0.02	57.407				4.0													BlockHappyPreview	
	0	-14.65	0.012	61.419				2.864								2{-2}		2.864	-11.786	584.0	BlockStartHappiness	
	0	-4.085	0.022	71.984				-0.001								5.0					ScanWait	
	1	0.027	0.027	76.096				10.0													GetReady	
1.0	1	10.057	0.03	86.126	2.8	2.8	10.35	3.0	955.0	3.6	Certain	5.6	11.9	0.0	No	4.0	6.30237825594564	1.56	11.617		GetAnswer	Loss
1.0	1	11.645	0.028	87.714	2.8	2.8	10.35	4.0	955.0	3.6	Certain	5.6	11.9	0.0	No		6.30237825594564				ShowChoice	Loss
1.0	1	15.657	0.012	91.726	2.8	2.8	10.35	1.0	955.0	3.6	Certain	5.6	11.9	0.0	No		6.30237825594564				ShowResult	Loss
1.0	1	16.677	0.02	92.746	2.8	2.8	10.35	2.431	955.0	3.6	Certain	5.6	11.9	0.0	No		6.30237825594564				ISITrial	Loss
2.0	1	19.134	0.026	95.203	3.1	0.0	10.7375	3.0	955.0	0.52	Outcome1	3.1	-3.62	0.0	No		6.72253680634202				GetAnswer	Mixed
2.0	1	22.16	0.026	98.229	3.1	0.0	10.7375	4.0	955.0	0.52	Outcome1	3.1	-3.62	0.0	No		6.72253680634202				ShowChoice	Mixed
2.0	1	26.172	0.012	102.241	3.1	0.0	10.7375	1.0	955.0	0.52	Outcome1	3.1	-3.62	0.0	No		6.72253680634202				ShowResult	Mixed
2.0	1	27.192	0.02	103.261	3.1	0.0	10.7375	4.568	955.0	0.52	Outcome1	3.1	-3.62	0.0	No		6.72253680634202				ISITrial	Mixed
3.0	1	31.789	0.029	107.858	-1.0	-1.0	10.6125	3.0	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes	4.0	7.14269535673839	2.681	34.47		GetAnswer	Mixed
3.0	1	34.497	0.027	110.566	-1.0	-1.0	10.6125	4.0	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes		7.14269535673839				ShowChoice	Mixed
3.0	1	38.526	0.029	114.595	-1.0	-1.0	10.6125	1.0	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes		7.14269535673839				ShowResult	Mixed
3.0	1	39.546	0.02	115.615	-1.0	-1.0	10.6125	3.243	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes		7.14269535673839				ISITrial	Mixed
3.0	1	45.697	0.024	121.766	-1.0	-1.0	10.6125	2.705	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes		7.14269535673839			552.0	TrialHappiness	Mixed
3.0	1	49.726	4.029	125.795	-1.0	-1.0	10.6125	3.472	955.0	2.0	Certain	2.3	-4.84	2868.0	Yes		7.14269535673839				ISIRate	Mixed
4.0	1	53.22	0.022	129.289	5.88	5.88	11.3475	3.0	955.0	2.8	Certain	11.76	13.5	0.0	No	4.0	-1.7404681011702499	1.866	55.086		GetAnswer	Loss
4.0	1	55.109	0.023	131.178	5.88	5.88	11.3475	4.0	955.0	2.8	Certain	11.76	13.5	0.0	No		-1.7404681011702499				ShowChoice	Loss
4.0	1	59.138	0.029	135.207	5.88	5.88	11.3475	1.0	955.0	2.8	Certain	11.76	13.5	0.0	No		-1.7404681011702499				ShowResult	Loss
4.0	1	60.157	0.019	136.226	5.88	5.88	11.3475	2.011	955.0	2.8	Certain	11.76	13.5	0.0	No		-1.7404681011702499				ISITrial	Loss
5.0	1	62.197	0.029	138.266	5.9	1.0	12.085	3.0	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes	2.0	8.56285390713477	2.492	64.689		GetAnswer	Gain
5.0	1	64.704	0.015	140.773	5.9	1.0	12.085	4.0	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes		8.56285390713477				ShowChoice	Gain
5.0	1	68.733	0.029	144.802	5.9	1.0	12.085	1.0	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes		8.56285390713477				ShowResult	Gain
5.0	1	69.753	0.02	145.822	5.9	1.0	12.085	5.129	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes		8.56285390713477				ISITrial	Gain
5.0	1	77.509	0.025	153.578	5.9	1.0	12.085	2.263	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes	2{-2}2{-2}	8.56285390713477	2.263	79.772	556.0	TrialHappiness	Gain
5.0	1	81.538	4.029	157.607	5.9	1.0	12.085	2.33	955.0	3.6	Outcome2	-2.66	5.9	2582.5	Yes		8.56285390713477				ISIRate	Gain
6.0	1	83.895	0.027	159.964	6.3	2.0	12.8725	3.0	955.0	5.0	Outcome1	6.3	-2.65	0.0	No	2.0	8.95130237825595	1.901	85.796		GetAnswer	Gain
6.0	1	85.818	0.022	161.887	6.3	2.0	12.8725	4.0	955.0	5.0	Outcome1	6.3	-2.65	0.0	No		8.95130237825595				ShowChoice	Gain
6.0	1	89.846	0.028	165.915	6.3	2.0	12.8725	1.0	955.0	5.0	Outcome1	6.3	-2.65	0.0	No		8.95130237825595				ShowResult	Gain
6.0	1	90.866	0.02	166.935	6.3	2.0	12.8725	6.232	955.0	5.0	Outcome1	6.3	-2.65	0.0	No		8.95130237825595				ISITrial	Gain
7.0	1	97.118	0.02	173.187	9.1	-0.15	14.01	3.0	955.0	2.22	Outcome1	9.1	-0.3	0.0	No		9.403171007927519				GetAnswer	Gain
7.0	1	100.144	0.026	176.213	9.1	-0.15	14.01	4.0	955.0	2.22	Outcome1	9.1	-0.3	0.0	No		9.403171007927519				ShowChoice	Gain
7.0	1	104.173	0.029	180.242	9.1	-0.15	14.01	1.0	955.0	2.22	Outcome1	9.1	-0.3	0.0	No		9.403171007927519				ShowResult	Gain
7.0	1	105.192	0.019	181.261	9.1	-0.15	14.01	2.305	955.0	2.22	Outcome1	9.1	-0.3	0.0	No		9.403171007927519				ISITrial	Gain
8.0	1	107.516	0.019	183.585	11.7	0.92	15.4725	3.0	955.0	3.16	Outcome1	11.7	1.84	3112.5	Yes	2.0	9.85503963759909	1.943	109.459		GetAnswer	Loss
8.0	1	109.489	0.029	185.558	11.7	0.92	15.4725	4.0	955.0	3.16	Outcome1	11.7	1.84	3112.5	Yes		9.85503963759909				ShowChoice	Loss
8.0	1	113.517	0.028	189.586	11.7	0.92	15.4725	1.0	955.0	3.16	Outcome1	11.7	1.84	3112.5	Yes		9.85503963759909				ShowResult	Loss
8.0	1	114.537	0.02	190.606	11.7	0.92	15.4725	3.506	955.0	3.16	Outcome1	11.7	1.84	3112.5	Yes		9.85503963759909				ISITrial	Loss
