trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-58.348	0.014	16.031				-0.001								{SPACE}		2.348	-56.0		Welcome	
	0	-55.983	0.017	18.396				5.0													LifeHappyPreview	
	0	-50.951	0.032	23.428				3.05												376.0	LifeHappiness	
	0	-26.16	0.017	48.219				4.0													BlockHappyPreview	
	0	-22.149	0.011	52.23				3.934												512.0	BlockStartHappiness	
	0	-0.484	0.013	73.895				-0.001								5.0					ScanWait	
	1	0.018	0.018	74.397				10.0													GetReady	
1.0	1	10.048	0.03	84.427	-3.1	-2.0	9.6125	3.0	955.0	0.3	Outcome2	-1.3	-3.1	0.0	No	2.0	-1.79775386938467	2.434	12.482		GetAnswer	Mixed
1.0	1	12.505	0.023	86.884	-3.1	-2.0	9.6125	4.0	955.0	0.3	Outcome2	-1.3	-3.1	0.0	No		-1.79775386938467				ShowChoice	Mixed
1.0	1	16.534	0.029	90.913	-3.1	-2.0	9.6125	1.0	955.0	0.3	Outcome2	-1.3	-3.1	0.0	No		-1.79775386938467				ShowResult	Mixed
1.0	1	17.553	0.019	91.932	-3.1	-2.0	9.6125	2.431	955.0	0.3	Outcome2	-1.3	-3.1	0.0	No		-1.79775386938467				ISITrial	Mixed
2.0	1	20.011	0.027	94.39	13.9	2.94	11.35	3.0	955.0	3.6	Outcome2	5.87	13.9	0.0	No	2.0	8.02718006795017	1.15	21.161		GetAnswer	Loss
2.0	1	21.181	0.02	95.56	13.9	2.94	11.35	4.0	955.0	3.6	Outcome2	5.87	13.9	0.0	No		8.02718006795017				ShowChoice	Loss
2.0	1	25.21	0.029	99.589	13.9	2.94	11.35	1.0	955.0	3.6	Outcome2	5.87	13.9	0.0	No		8.02718006795017				ShowResult	Loss
2.0	1	26.229	0.019	100.608	13.9	2.94	11.35	4.568	955.0	3.6	Outcome2	5.87	13.9	0.0	No		8.02718006795017				ISITrial	Loss
3.0	1	30.826	0.029	105.205	9.9	0.68	12.5875	3.0	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes	2.0	8.52887882219705	1.193	32.019		GetAnswer	Gain
3.0	1	32.047	0.028	106.426	9.9	0.68	12.5875	4.0	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes		8.52887882219705				ShowChoice	Gain
3.0	1	36.059	0.012	110.438	9.9	0.68	12.5875	1.0	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes		8.52887882219705				ShowResult	Gain
3.0	1	37.078	0.019	111.457	9.9	0.68	12.5875	3.243	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes		8.52887882219705				ISITrial	Gain
3.0	1	43.23	0.024	117.609	9.9	0.68	12.5875	2.853	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes	2{-2}2{-2}2{-2}2{-2}	8.52887882219705	2.853	46.083	592.0	TrialHappiness	Gain
3.0	1	47.242	4.012	121.621	9.9	0.68	12.5875	3.472	955.0	3.6	Outcome2	1.37	9.9	2868.0	Yes		8.52887882219705				ISIRate	Gain
4.0	1	50.736	0.022	125.115	-4.0	-4.0	12.0875	3.0	955.0	0.82	Certain	-8.17	-0.5	0.0	No	4.0	7.67157417893545	1.977	52.713		GetAnswer	Mixed
