trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-30.645	0.022	46.152				-0.001								{SPACE}		3.844	-26.801		Welcome	
	0	-26.767	0.034	50.03				5.0													LifeHappyPreview	
	0	-21.735	0.032	55.062				4.004												624.0	LifeHappiness	
	0	-11.956	0.029	64.841				4.0													BlockHappyPreview	
	0	-7.944	0.012	68.853				2.816												704.0	BlockStartHappiness	
	0	-1.642	0.023	75.155				-0.001								5.0					ScanWait	
	1	0.013	0.013	76.81				10.0													GetReady	
1.0	1	10.043	0.03	86.84	7.88	3.94	10.985	3.0	955.0	2.0	Outcome1	7.88	8.9	0.0	No	2.0	-1.0185919214798	1.749	11.792		GetAnswer	Gain
1.0	1	11.815	0.023	88.612	7.88	3.94	10.985	4.0	955.0	2.0	Outcome1	7.88	8.9	0.0	No		-1.0185919214798				ShowChoice	Gain
1.0	1	15.827	0.012	92.624	7.88	3.94	10.985	1.0	955.0	2.0	Outcome1	7.88	8.9	0.0	No		-1.0185919214798				ShowResult	Gain
1.0	1	16.847	0.02	93.644	7.88	3.94	10.985	2.431	955.0	2.0	Outcome1	7.88	8.9	0.0	No		-1.0185919214798				ISITrial	Gain
2.0	1	19.304	0.026	96.101	4.66	2.33	11.5675	3.0	955.0	3.16	Outcome2	5.7	4.66	0.0	No	2.0	-1.04228010570026	1.268	20.572		GetAnswer	Gain
2.0	1	20.591	0.019	97.388	4.66	2.33	11.5675	4.0	955.0	3.16	Outcome2	5.7	4.66	0.0	No		-1.04228010570026				ShowChoice	Gain
2.0	1	24.62	0.029	101.417	4.66	2.33	11.5675	1.0	955.0	3.16	Outcome2	5.7	4.66	0.0	No		-1.04228010570026				ShowResult	Gain
2.0	1	25.64	0.02	102.437	4.66	2.33	11.5675	4.568	955.0	3.16	Outcome2	5.7	4.66	0.0	No		-1.04228010570026				ISITrial	Gain
3.0	1	30.237	0.029	107.034	11.03	5.52	12.9463	3.0	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes	2.0	-1.06596828992072	1.246	31.483		GetAnswer	Loss
3.0	1	31.507	0.024	108.304	11.03	5.52	12.9463	4.0	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes		-1.06596828992072				ShowChoice	Loss
3.0	1	35.519	0.012	112.316	11.03	5.52	12.9463	1.0	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes		-1.06596828992072				ShowResult	Loss
3.0	1	36.539	0.02	113.336	11.03	5.52	12.9463	3.243	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes		-1.06596828992072				ISITrial	Loss
3.0	1	42.691	0.024	119.488	11.03	5.52	12.9463	3.216	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes	2{-2}4{-4}	-1.06596828992072	3.216	45.907	704.0	TrialHappiness	Loss
3.0	1	46.719	4.028	123.516	11.03	5.52	12.9463	3.472	955.0	4.2	Outcome1	11.03	12.1	2868.0	Yes		-1.06596828992072				ISIRate	Loss
4.0	1	50.213	0.022	127.01	0.0	0.0	12.9463	3.0	955.0	0.4	Certain	-2.22	2.9	0.0	No	4.0	5.116647791619481	1.716	51.929		GetAnswer	Mixed
4.0	1	51.952	0.023	128.749	0.0	0.0	12.9463	4.0	955.0	0.4	Certain	-2.22	2.9	0.0	No		5.116647791619481				ShowChoice	Mixed
4.0	1	55.98	0.028	132.777	0.0	0.0	12.9463	1.0	955.0	0.4	Certain	-2.22	2.9	0.0	No		5.116647791619481				ShowResult	Mixed
4.0	1	57.0	0.02	133.797	0.0	0.0	12.9463	2.011	955.0	0.4	Certain	-2.22	2.9	0.0	No		5.116647791619481				ISITrial	Mixed
5.0	1	59.04	0.029	135.837	1.5	-1.0	13.1338	3.0	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes	2.0	5.4009060022650095	1.852	60.892		GetAnswer	Mixed
5.0	1	60.912	0.02	137.709	1.5	-1.0	13.1338	4.0	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes		5.4009060022650095				ShowChoice	Mixed
5.0	1	64.94	0.028	141.737	1.5	-1.0	13.1338	1.0	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes		5.4009060022650095				ShowResult	Mixed
5.0	1	65.96	0.02	142.757	1.5	-1.0	13.1338	5.129	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes		5.4009060022650095				ISITrial	Mixed
5.0	1	73.717	0.026	150.514	1.5	-1.0	13.1338	0.992	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes	2{-2}	5.4009060022650095	0.992	74.709	744.0	TrialHappiness	Mixed
5.0	1	77.729	4.012	154.526	1.5	-1.0	13.1338	2.33	955.0	0.82	Outcome2	-3.9	1.5	2582.5	Yes		5.4009060022650095				ISIRate	Mixed
6.0	1	80.086	0.027	156.883	-1.87	-1.0	12.9	3.0	955.0	0.52	Outcome1	-1.87	-0.9	0.0	No	2.0	-0.974707436768592	2.796	82.882		GetAnswer	Mixed
6.0	1	82.894	0.012	159.691	-1.87	-1.0	12.9	4.0	955.0	0.52	Outcome1	-1.87	-0.9	0.0	No		-0.974707436768592				ShowChoice	Mixed
6.0	1	86.906	0.012	163.703	-1.87	-1.0	12.9	1.0	955.0	0.52	Outcome1	-1.87	-0.9	0.0	No		-0.974707436768592				ShowResult	Mixed
6.0	1	87.926	0.02	164.723	-1.87	-1.0	12.9	6.232	955.0	0.52	Outcome1	-1.87	-0.9	0.0	No		-0.974707436768592				ISITrial	Mixed
7.0	1	94.178	0.02	170.975	8.5	1.63	13.9625	3.0	955.0	1.68	Outcome2	3.26	8.5	0.0	No	2.0	5.244620611551531	1.52	95.698		GetAnswer	Gain
7.0	1	95.716	0.018	172.513	8.5	1.63	13.9625	4.0	955.0	1.68	Outcome2	3.26	8.5	0.0	No		5.244620611551531				ShowChoice	Gain
7.0	1	99.728	0.012	176.525	8.5	1.63	13.9625	1.0	955.0	1.68	Outcome2	3.26	8.5	0.0	No		5.244620611551531				ShowResult	Gain
7.0	1	100.748	0.02	177.545	8.5	1.63	13.9625	2.305	955.0	1.68	Outcome2	3.26	8.5	0.0	No		5.244620611551531				ISITrial	Gain
8.0	1	103.071	0.018	179.868	6.29	3.14	14.7487	3.0	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes	2.0	-1.01453378633447	1.113	104.184		GetAnswer	Gain
8.0	1	104.208	0.024	181.005	6.29	3.14	14.7487	4.0	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes		-1.01453378633447				ShowChoice	Gain
8.0	1	108.22	0.012	185.017	6.29	3.14	14.7487	1.0	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes		-1.01453378633447				ShowResult	Gain
8.0	1	109.24	0.02	186.037	6.29	3.14	14.7487	3.506	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes		-1.01453378633447				ISITrial	Gain
8.0	1	115.91	0.031	192.707	6.29	3.14	14.7487	2.13	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes		-1.01453378633447			592.0	TrialHappiness	Gain
8.0	1	119.922	4.012	196.719	6.29	3.14	14.7487	4.45	955.0	2.48	Outcome1	6.29	7.3	3112.5	Yes		-1.01453378633447				ISIRate	Gain
9.0	1	124.402	0.03	201.199	12.7	2.2	16.3362	3.0	955.0	1.82	Outcome1	12.7	4.4	0.0	No	2.0	8.30464326160815	1.628	126.03		GetAnswer	Loss
9.0	1	126.057	0.027	202.854	12.7	2.2	16.3362	4.0	955.0	1.82	Outcome1	12.7	4.4	0.0	No		8.30464326160815				ShowChoice	Loss
