trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-71.491	0.021	35.235				-0.001								{SPACE}		2.656	-68.835		Welcome	
	0	-68.816	0.019	37.91				5.0													LifeHappyPreview	
	0	-63.784	0.032	42.942				3.006												720.0	LifeHappiness	
	0	-50.578	0.018	56.148				4.0													BlockHappyPreview	
	0	-46.566	0.012	60.16				0.82												512.0	BlockStartHappiness	
	0	-13.367	0.013	93.359				-0.001								5.0					ScanWait	
	1	0.023	0.023	106.749				10.0													GetReady	
1.0	1	10.053	0.03	116.779	3.5	0.0	10.4375	3.0	955.0	0.82	Outcome1	3.5	-4.03	0.0	No	2.0	7.52548131370328	1.41	11.463		GetAnswer	Mixed
1.0	1	11.491	0.028	118.217	3.5	0.0	10.4375	4.0	955.0	0.82	Outcome1	3.5	-4.03	0.0	No		7.52548131370328				ShowChoice	Mixed
1.0	1	15.503	0.012	122.229	3.5	0.0	10.4375	1.0	955.0	0.82	Outcome1	3.5	-4.03	0.0	No		7.52548131370328				ShowResult	Mixed
1.0	1	16.523	0.02	123.249	3.5	0.0	10.4375	2.431	955.0	0.82	Outcome1	3.5	-4.03	0.0	No		7.52548131370328				ISITrial	Mixed
2.0	1	18.98	0.026	125.706	1.3	-2.0	10.6	3.0	955.0	0.66	Outcome2	-6.73	1.3	0.0	No	2.0	8.02718006795017	2.657	21.637		GetAnswer	Mixed
2.0	1	21.655	0.018	128.381	1.3	-2.0	10.6	4.0	955.0	0.66	Outcome2	-6.73	1.3	0.0	No		8.02718006795017				ShowChoice	Mixed
2.0	1	25.683	0.028	132.409	1.3	-2.0	10.6	1.0	955.0	0.66	Outcome2	-6.73	1.3	0.0	No		8.02718006795017				ShowResult	Mixed
2.0	1	26.703	0.02	133.429	1.3	-2.0	10.6	4.568	955.0	0.66	Outcome2	-6.73	1.3	0.0	No		8.02718006795017				ISITrial	Mixed
3.0	1	31.3	0.029	138.026	-2.0	-2.0	10.35	3.0	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes	4.0	-1.88137032842582	2.394	33.694		GetAnswer	Mixed
3.0	1	33.724	0.03	140.45	-2.0	-2.0	10.35	4.0	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes		-1.88137032842582				ShowChoice	Mixed
3.0	1	37.736	0.012	144.462	-2.0	-2.0	10.35	1.0	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes		-1.88137032842582				ShowResult	Mixed
3.0	1	38.756	0.02	145.482	-2.0	-2.0	10.35	3.243	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes		-1.88137032842582				ISITrial	Mixed
3.0	1	44.907	0.024	151.633	-2.0	-2.0	10.35	1.831	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes		-1.88137032842582			544.0	TrialHappiness	Mixed
3.0	1	48.936	4.029	155.662	-2.0	-2.0	10.35	3.472	955.0	0.3	Certain	-1.3	-3.18	2868.0	Yes		-1.88137032842582				ISIRate	Mixed
4.0	1	52.43	0.022	159.156	2.1	-2.0	10.6125	3.0	955.0	1.5	Outcome2	-6.39	2.1	0.0	No	2.0	8.486976217440539	1.936	54.366		GetAnswer	Mixed
4.0	1	54.386	0.02	161.112	2.1	-2.0	10.6125	4.0	955.0	1.5	Outcome2	-6.39	2.1	0.0	No		8.486976217440539				ShowChoice	Mixed
4.0	1	58.398	0.012	165.124	2.1	-2.0	10.6125	1.0	955.0	1.5	Outcome2	-6.39	2.1	0.0	No		8.486976217440539				ShowResult	Mixed
4.0	1	59.418	0.02	166.144	2.1	-2.0	10.6125	2.011	955.0	1.5	Outcome2	-6.39	2.1	0.0	No		8.486976217440539				ISITrial	Mixed
5.0	1	61.457	0.028	168.183	9.9	0.48	11.85	3.0	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes	2.0	8.9524348810872	2.01	63.467		GetAnswer	Gain
5.0	1	63.496	0.029	170.222	9.9	0.48	11.85	4.0	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes		8.9524348810872				ShowChoice	Gain
5.0	1	67.508	0.012	174.234	9.9	0.48	11.85	1.0	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes		8.9524348810872				ShowResult	Gain
5.0	1	68.528	0.02	175.254	9.9	0.48	11.85	5.129	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes		8.9524348810872				ISITrial	Gain
5.0	1	76.285	0.026	183.011	9.9	0.48	11.85	2.364	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes		8.9524348810872			584.0	TrialHappiness	Gain
5.0	1	80.313	4.028	187.039	9.9	0.48	11.85	2.33	955.0	3.6	Outcome1	9.9	0.95	2582.5	Yes		8.9524348810872				ISIRate	Gain
6.0	1	82.67	0.027	189.396	12.9	2.08	13.4625	3.0	955.0	2.0	Outcome2	4.16	12.9	0.0	No	2.0	8.73839184597962	1.356	84.026		GetAnswer	Loss
6.0	1	84.041	0.015	190.767	12.9	2.08	13.4625	4.0	955.0	2.0	Outcome2	4.16	12.9	0.0	No		8.73839184597962				ShowChoice	Loss
6.0	1	88.07	0.029	194.796	12.9	2.08	13.4625	1.0	955.0	2.0	Outcome2	4.16	12.9	0.0	No		8.73839184597962				ShowResult	Loss
6.0	1	89.09	0.02	195.816	12.9	2.08	13.4625	6.232	955.0	2.0	Outcome2	4.16	12.9	0.0	No		8.73839184597962				ISITrial	Loss
7.0	1	95.342	0.02	202.068	10.3	0.57	14.75	3.0	955.0	5.0	Outcome1	10.3	1.14	0.0	No	2.0	9.15855039637599	1.382	96.724		GetAnswer	Gain
7.0	1	96.746	0.022	203.472	10.3	0.57	14.75	4.0	955.0	5.0	Outcome1	10.3	1.14	0.0	No		9.15855039637599				ShowChoice	Gain
7.0	1	100.758	0.012	207.484	10.3	0.57	14.75	1.0	955.0	5.0	Outcome1	10.3	1.14	0.0	No		9.15855039637599				ShowResult	Gain
7.0	1	101.778	0.02	208.504	10.3	0.57	14.75	2.305	955.0	5.0	Outcome1	10.3	1.14	0.0	No		9.15855039637599				ISITrial	Gain
8.0	1	104.101	0.018	210.827	9.5	-0.04	15.9375	3.0	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes	2.0	9.57870894677237	2.526	106.627		GetAnswer	Gain
8.0	1	106.642	0.015	213.368	9.5	-0.04	15.9375	4.0	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes		9.57870894677237				ShowChoice	Gain
8.0	1	110.654	0.012	217.38	9.5	-0.04	15.9375	1.0	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes		9.57870894677237				ShowResult	Gain
8.0	1	111.674	0.02	218.4	9.5	-0.04	15.9375	3.506	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes		9.57870894677237				ISITrial	Gain
8.0	1	118.344	0.031	225.07	9.5	-0.04	15.9375	2.698	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes		9.57870894677237			472.0	TrialHappiness	Gain
8.0	1	122.372	4.028	229.098	9.5	-0.04	15.9375	4.45	955.0	2.8	Outcome2	-0.08	9.5	3112.5	Yes		9.57870894677237				ISIRate	Gain
9.0	1	126.852	0.03	233.578	-6.0	-6.0	15.1875	3.0	955.0	1.2	Certain	-0.1	-12.0	0.0	No	4.0	11.901472253680598	2.202	129.054		GetAnswer	Mixed
9.0	1	129.076	0.022	235.802	-6.0	-6.0	15.1875	4.0	955.0	1.2	Certain	-0.1	-12.0	0.0	No		11.901472253680598				ShowChoice	Mixed
9.0	1	133.088	0.012	239.814	-6.0	-6.0	15.1875	1.0	955.0	1.2	Certain	-0.1	-12.0	0.0	No		11.901472253680598				ShowResult	Mixed
9.0	1	134.107	0.019	240.833	-6.0	-6.0	15.1875	2.0	955.0	1.2	Certain	-0.1	-12.0	0.0	No		11.901472253680598				ISITrial	Mixed
10.0	1	136.13	0.023	242.856	8.99	4.5	16.3113	3.0	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes	2.0	-2.31370328425821	0.995	137.125		GetAnswer	Loss
10.0	1	137.15	0.025	243.876	8.99	4.5	16.3113	4.0	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes		-2.31370328425821				ShowChoice	Loss
10.0	1	141.162	0.012	247.888	8.99	4.5	16.3113	1.0	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes		-2.31370328425821				ShowResult	Loss
10.0	1	142.182	0.02	248.908	8.99	4.5	16.3113	2.0	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes		-2.31370328425821				ISITrial	Loss
10.0	1	148.233	0.029	254.959	8.99	4.5	16.3113	1.445	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes		-2.31370328425821			528.0	TrialHappiness	Loss
10.0	1	152.262	4.029	258.988	8.99	4.5	16.3113	8.0	955.0	2.48	Outcome2	11.3	8.99	4000.0	Yes		-2.31370328425821				ISIRate	Loss
11.0	1	160.286	0.024	267.012	9.77	4.88	17.5326	3.0	955.0	3.6	Outcome2	11.9	9.77	0.0	No	2.0	-2.13203095507739	1.175	161.461		GetAnswer	Loss
11.0	1	161.489	0.028	268.215	9.77	4.88	17.5326	4.0	955.0	3.6	Outcome2	11.9	9.77	0.0	No		-2.13203095507739				ShowChoice	Loss
11.0	1	165.501	0.012	272.227	9.77	4.88	17.5326	1.0	955.0	3.6	Outcome2	11.9	9.77	0.0	No		-2.13203095507739				ShowResult	Loss
11.0	1	166.521	0.02	273.247	9.77	4.88	17.5326	3.324	955.0	3.6	Outcome2	11.9	9.77	0.0	No		-2.13203095507739				ISITrial	Loss
12.0	1	169.864	0.019	276.59	3.93	1.96	18.0238	3.0	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes	2.0	-2.17232918082295	1.176	171.04		GetAnswer	Gain
12.0	1	171.068	0.028	277.794	3.93	1.96	18.0238	4.0	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes		-2.17232918082295				ShowChoice	Gain
12.0	1	175.08	0.012	281.806	3.93	1.96	18.0238	1.0	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes		-2.17232918082295				ShowResult	Gain
12.0	1	176.1	0.02	282.826	3.93	1.96	18.0238	6.642	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes		-2.17232918082295				ISITrial	Gain
12.0	1	185.411	0.022	292.137	3.93	1.96	18.0238	0.0	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes		-2.17232918082295			512.0	TrialHappiness	Gain
12.0	1	189.44	4.029	296.166	3.93	1.96	18.0238	2.475	955.0	4.2	Outcome2	6.1	3.93	2618.75	Yes		-2.17232918082295				ISIRate	Gain
13.0	1	191.947	0.032	298.673	-0.3	-7.0	17.9863	3.0	955.0	1.0	Outcome1	-0.3	-13.58	0.0	No	2.0	13.2831257078143	2.159	194.106		GetAnswer	Mixed
13.0	1	194.12	0.014	300.846	-0.3	-7.0	17.9863	4.0	955.0	1.0	Outcome1	-0.3	-13.58	0.0	No		13.2831257078143				ShowChoice	Mixed
13.0	1	198.132	0.012	304.858	-0.3	-7.0	17.9863	1.0	955.0	1.0	Outcome1	-0.3	-13.58	0.0	No		13.2831257078143				ShowResult	Mixed
13.0	1	199.152	0.02	305.878	-0.3	-7.0	17.9863	3.48	955.0	1.0	Outcome1	-0.3	-13.58	0.0	No		13.2831257078143				ISITrial	Mixed
14.0	1	202.662	0.03	309.388	1.98	0.99	18.2338	3.0	955.0	2.0	Outcome2	4.3	1.98	0.0	No	2.0	-2.3193657984145	1.235	203.897		GetAnswer	Mixed
14.0	1	203.916	0.019	310.642	1.98	0.99	18.2338	4.0	955.0	2.0	Outcome2	4.3	1.98	0.0	No		-2.3193657984145				ShowChoice	Mixed
14.0	1	207.945	0.029	314.671	1.98	0.99	18.2338	1.0	955.0	2.0	Outcome2	4.3	1.98	0.0	No		-2.3193657984145				ShowResult	Mixed
14.0	1	208.965	0.02	315.691	1.98	0.99	18.2338	5.019	955.0	2.0	Outcome2	4.3	1.98	0.0	No		-2.3193657984145				ISITrial	Mixed
15.0	1	214.013	0.029	320.739	8.3	1.0	19.2713	3.0	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes	2.0	14.286523216308	2.738	216.751		GetAnswer	Gain
15.0	1	216.771	0.02	323.497	8.3	1.0	19.2713	4.0	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes		14.286523216308				ShowChoice	Gain
15.0	1	220.8	0.029	327.526	8.3	1.0	19.2713	1.0	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes		14.286523216308				ShowResult	Gain
15.0	1	221.82	0.02	328.546	8.3	1.0	19.2713	7.614	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes		14.286523216308				ISITrial	Gain
15.0	1	232.836	0.029	339.562	8.3	1.0	19.2713	1.913	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes		14.286523216308			576.0	TrialHappiness	Gain
15.0	1	236.848	4.012	343.574	8.3	1.0	19.2713	5.394	955.0	5.0	Outcome1	8.3	-5.99	3348.5	Yes		14.286523216308				ISIRate	Gain
16.0	1	242.264	0.022	348.99	-1.1	-8.0	19.1338	3.0	955.0	0.4	Outcome2	-14.8	-1.1	0.0	No		13.701019252548098				GetAnswer	Mixed
16.0	1	245.29	0.026	352.016	-1.1	-8.0	19.1338	4.0	955.0	0.4	Outcome2	-14.8	-1.1	0.0	No		13.701019252548098				ShowChoice	Mixed
16.0	1	249.302	0.012	356.028	-1.1	-8.0	19.1338	1.0	955.0	0.4	Outcome2	-14.8	-1.1	0.0	No		13.701019252548098				ShowResult	Mixed
16.0	1	250.322	0.02	357.048	-1.1	-8.0	19.1338	3.008	955.0	0.4	Outcome2	-14.8	-1.1	0.0	No		13.701019252548098				ISITrial	Mixed
17.0	1	253.347	0.017	360.073	0.92	2.0	19.2488	3.0	955.0	0.52	Outcome1	0.92	3.1	3041.5	Yes	2.0	-2.17902982257456	1.781	255.128		GetAnswer	Mixed
17.0	1	255.153	0.025	361.879	0.92	2.0	19.2488	4.0	955.0	0.52	Outcome1	0.92	3.1	3041.5	Yes		-2.17902982257456				ShowChoice	Mixed
17.0	1	259.165	0.012	365.891	0.92	2.0	19.2488	1.0	955.0	0.52	Outcome1	0.92	3.1	3041.5	Yes		-2.17902982257456				ShowResult	Mixed
