trial_number	block	onset	onset_delay	onset_unadjusted	amount_change	certain_amount	current_amount	duration	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
	0	-37.284	0.017	11.313				-0.001								{SPACE}		3.759	-33.525		Welcome	
	0	-33.498	0.027	15.099				5.0													LifeHappyPreview	
	0	-28.467	0.031	20.13				2.476												412.0	LifeHappiness	
	0	-17.487	0.029	31.11				4.0													BlockHappyPreview	
	0	-13.472	0.015	35.125				1.086												452.0	BlockStartHappiness	
	0	-4.158	0.024	44.439				-0.001								5.0					ScanWait	
	1	0.024	0.024	48.621				10.0													GetReady	
1.0	1	10.053	0.029	58.65	8.7	0.08	11.0875	3.0	955.0	1.82	Outcome1	8.7	0.16	0.0	No	2.0	8.54473386183465	1.521	11.574		GetAnswer	Gain
1.0	1	11.603	0.029	60.2	8.7	0.08	11.0875	4.0	955.0	1.82	Outcome1	8.7	0.16	0.0	No		8.54473386183465				ShowChoice	Gain
1.0	1	15.618	0.015	64.215	8.7	0.08	11.0875	1.0	955.0	1.82	Outcome1	8.7	0.16	0.0	No		8.54473386183465				ShowResult	Gain
1.0	1	16.634	0.016	65.231	8.7	0.08	11.0875	2.431	955.0	1.82	Outcome1	8.7	0.16	0.0	No		8.54473386183465				ISITrial	Gain
2.0	1	19.084	0.019	67.681	3.41	1.7	11.5137	3.0	955.0	2.8	Outcome1	3.41	5.5	0.0	No	2.0	-2.0887127217818002	1.345	20.429		GetAnswer	Gain
2.0	1	20.45	0.021	69.047	3.41	1.7	11.5137	4.0	955.0	2.8	Outcome1	3.41	5.5	0.0	No		-2.0887127217818002				ShowChoice	Gain
2.0	1	24.465	0.015	73.062	3.41	1.7	11.5137	1.0	955.0	2.8	Outcome1	3.41	5.5	0.0	No		-2.0887127217818002				ShowResult	Gain
2.0	1	25.481	0.016	74.078	3.41	1.7	11.5137	4.568	955.0	2.8	Outcome1	3.41	5.5	0.0	No		-2.0887127217818002				ISITrial	Gain
3.0	1	30.08	0.031	78.677	4.16	2.08	12.0337	3.0	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes	2.0	-2.13618346545866	1.195	31.275		GetAnswer	Gain
3.0	1	31.296	0.021	79.893	4.16	2.08	12.0337	4.0	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes		-2.13618346545866				ShowChoice	Gain
3.0	1	35.311	0.015	83.908	4.16	2.08	12.0337	1.0	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes		-2.13618346545866				ShowResult	Gain
3.0	1	36.328	0.017	84.925	4.16	2.08	12.0337	3.243	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes		-2.13618346545866				ISITrial	Gain
3.0	1	42.492	0.031	91.089	4.16	2.08	12.0337	2.773	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes		-2.13618346545866			568.0	TrialHappiness	Gain
3.0	1	46.507	4.015	95.104	4.16	2.08	12.0337	3.472	955.0	5.0	Outcome1	4.16	6.3	2868.0	Yes		-2.13618346545866				ISIRate	Gain
4.0	1	50.006	0.027	98.603	1.0	1.0	12.1587	3.0	955.0	2.48	Certain	5.3	-2.98	0.0	No	4.0	8.28312570781427	1.266	51.272		GetAnswer	Gain
4.0	1	51.289	0.017	99.886	1.0	1.0	12.1587	4.0	955.0	2.48	Certain	5.3	-2.98	0.0	No		8.28312570781427				ShowChoice	Gain
4.0	1	55.304	0.015	103.901	1.0	1.0	12.1587	1.0	955.0	2.48	Certain	5.3	-2.98	0.0	No		8.28312570781427				ShowResult	Gain
4.0	1	56.321	0.017	104.918	1.0	1.0	12.1587	2.011	955.0	2.48	Certain	5.3	-2.98	0.0	No		8.28312570781427				ISITrial	Gain
5.0	1	58.353	0.021	106.95	0.0	0.0	12.1587	3.0	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes	4.0	-1.74943374858437	1.287	59.64		GetAnswer	Mixed
5.0	1	59.653	0.013	108.25	0.0	0.0	12.1587	4.0	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes		-1.74943374858437				ShowChoice	Mixed
5.0	1	63.668	0.015	112.265	0.0	0.0	12.1587	1.0	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes		-1.74943374858437				ShowResult	Mixed
5.0	1	64.684	0.016	113.281	0.0	0.0	12.1587	5.129	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes		-1.74943374858437				ISITrial	Mixed
5.0	1	72.432	0.018	121.029	0.0	0.0	12.1587	0.0	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes		-1.74943374858437			512.0	TrialHappiness	Mixed
5.0	1	76.447	4.015	125.044	0.0	0.0	12.1587	2.33	955.0	2.0	Certain	0.3	-1.45	2582.5	Yes		-1.74943374858437				ISIRate	Mixed
6.0	1	78.796	0.019	127.393	7.49	3.74	13.0949	3.0	955.0	2.8	Outcome2	9.5	7.49	0.0	No	2.0	-2.01321253303133	1.385	80.181		GetAnswer	Gain
6.0	1	80.196	0.015	128.793	7.49	3.74	13.0949	4.0	955.0	2.8	Outcome2	9.5	7.49	0.0	No		-2.01321253303133				ShowChoice	Gain
6.0	1	84.211	0.015	132.808	7.49	3.74	13.0949	1.0	955.0	2.8	Outcome2	9.5	7.49	0.0	No		-2.01321253303133				ShowResult	Gain
6.0	1	85.227	0.016	133.824	7.49	3.74	13.0949	6.232	955.0	2.8	Outcome2	9.5	7.49	0.0	No		-2.01321253303133				ISITrial	Gain
7.0	1	91.475	0.016	140.072	10.64	5.32	14.4249	3.0	955.0	1.82	Outcome1	10.64	12.7	0.0	No	2.0	-2.05502076255191	1.36	92.835		GetAnswer	Loss
7.0	1	92.858	0.023	141.455	10.64	5.32	14.4249	4.0	955.0	1.82	Outcome1	10.64	12.7	0.0	No		-2.05502076255191				ShowChoice	Loss
7.0	1	96.873	0.015	145.47	10.64	5.32	14.4249	1.0	955.0	1.82	Outcome1	10.64	12.7	0.0	No		-2.05502076255191				ShowResult	Loss
7.0	1	97.889	0.016	146.486	10.64	5.32	14.4249	2.305	955.0	1.82	Outcome1	10.64	12.7	0.0	No		-2.05502076255191				ISITrial	Loss
8.0	1	100.222	0.028	148.819	-3.0	-3.0	14.0499	3.0	955.0	0.3	Certain	-8.41	2.7	3112.5	Yes	4.0	11.114382785957	1.703	101.925		GetAnswer	Mixed
8.0	1	101.938	0.013	150.535	-3.0	-3.0	14.0499	4.0	955.0	0.3	Certain	-8.41	2.7	3112.5	Yes		11.114382785957				ShowChoice	Mixed
8.0	1	105.953	0.015	154.55	-3.0	-3.0	14.0499	1.0	955.0	0.3	Certain	-8.41	2.7	3112.5	Yes		11.114382785957				ShowResult	Mixed
8.0	1	106.97	0.017	155.567	-3.0	-3.0	14.0499	3.506	955.0	0.3	Certain	-8.41	2.7	3112.5	Yes		11.114382785957				ISITrial	Mixed
